"Time","Type","Ability","Source → Target",""
"00:00.017","Cast","Final Ascension","Mor'zahi",""
"00:00.030","Cast","Creepy Flames","Creepy Statue 1",""
"00:00.030","Cast","Creepy Flames","Creepy Statue 2",""
"00:00.030","Cast","Creepy Flames","Creepy Statue 3",""
"00:00.030","Cast","Creepy Flames","Creepy Statue 4",""
"00:00.030","Cast","Creepy Flames","Creepy Statue 5",""
"00:00.030","Cast","Creepy Flames","Creepy Statue 6",""
"00:00.030","Cast","Creepy Flames","Creepy Statue 7",""
"00:00.031","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"00:09.984","Cast","Blink Nova","Scrollsage Iku",""
"00:16.982","Cast","Blink Nova 7.00 sec","Scrollsage Iku → Hastydwagon",""
"00:21.990","Cast","Shell Spin 4.01 sec","First Mate Nama → Illhitu",""
"00:22.986","Cast","Throw Junk","Trader Gebbo",""
"00:22.986","Cast","Throw Junk","Trader Gebbo",""
"00:22.986","Cast","Throw Junk 3.00 sec","Trader Gebbo",""
"00:27.072","Cast","Throw Junk","Trader Gebbo",""
"00:27.072","Cast","Throw Junk","Trader Gebbo",""
"00:27.072","Cast","Throw Junk 3.05 sec","Trader Gebbo",""
"00:29.991","Cast","Shredding Shards","Scrollsage Iku",""
"00:30.473","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"00:30.989","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"00:30.989","Cast","Throw Junk","Trader Gebbo",""
"00:30.989","Cast","Throw Junk","Trader Gebbo",""
"00:30.989","Cast","Throw Junk 3.00 sec","Trader Gebbo",""
"00:31.491","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"00:31.982","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"00:32.482","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"00:32.975","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"00:33.472","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"00:35.980","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"00:37.985","Cast","Shell Spin 4.01 sec","First Mate Nama → Evelinari",""
"00:40.986","Cast","Blink Nova","Scrollsage Iku",""
"00:47.983","Cast","Blink Nova 7.00 sec","Scrollsage Iku → Benderic",""
"00:52.995","Cast","Shell Spin 4.03 sec","First Mate Nama → Illhitu",""
"00:53.986","Cast","Throw Junk","Trader Gebbo",""
"00:53.986","Cast","Throw Junk","Trader Gebbo",""
"00:53.986","Cast","Throw Junk 2.99 sec","Trader Gebbo",""
"00:57.028","Cast","Evil Eyes","Creepy Statue 1",""
"00:57.028","Cast","Evil Eyes","Creepy Statue 2",""
"00:57.028","Cast","Evil Eyes","Creepy Statue 3",""
"00:57.028","Cast","Evil Eyes","Creepy Statue 4",""
"00:57.028","Cast","Evil Eyes","Creepy Statue 5",""
"00:57.029","Cast","Evil Eyes","Creepy Statue 6",""
"00:57.029","Cast","Evil Eyes","Creepy Statue 7",""
"00:57.643","Cast","Evil Eyes","Creepy Statue 1",""
"00:57.643","Cast","Evil Eyes","Creepy Statue 2",""
"00:57.643","Cast","Evil Eyes","Creepy Statue 3",""
"00:57.643","Cast","Evil Eyes","Creepy Statue 4",""
"00:57.643","Cast","Evil Eyes","Creepy Statue 5",""
"00:57.643","Cast","Evil Eyes","Creepy Statue 6",""
"00:57.656","Cast","Evil Eyes","Creepy Statue 7",""
"00:58.001","Cast","Throw Junk","Trader Gebbo",""
"00:58.001","Cast","Throw Junk","Trader Gebbo",""
"00:58.002","Cast","Throw Junk 3.01 sec","Trader Gebbo",""
"00:58.268","Cast","Evil Eyes","Creepy Statue 1",""
"00:58.268","Cast","Evil Eyes","Creepy Statue 2",""
"00:58.269","Cast","Evil Eyes","Creepy Statue 3",""
"00:58.269","Cast","Evil Eyes","Creepy Statue 4",""
"00:58.269","Cast","Evil Eyes","Creepy Statue 5",""
"00:58.269","Cast","Evil Eyes","Creepy Statue 6",""
"00:58.293","Cast","Evil Eyes","Creepy Statue 7",""
"00:58.887","Cast","Evil Eyes","Creepy Statue 1",""
"00:58.887","Cast","Evil Eyes","Creepy Statue 2",""
"00:58.887","Cast","Evil Eyes","Creepy Statue 3",""
"00:58.888","Cast","Evil Eyes","Creepy Statue 4",""
"00:58.888","Cast","Evil Eyes","Creepy Statue 5",""
"00:58.888","Cast","Evil Eyes","Creepy Statue 6",""
"00:58.888","Cast","Evil Eyes","Creepy Statue 7",""
"00:59.519","Cast","Evil Eyes","Creepy Statue 1",""
"00:59.520","Cast","Evil Eyes","Creepy Statue 2",""
"00:59.520","Cast","Evil Eyes","Creepy Statue 3",""
"00:59.520","Cast","Evil Eyes","Creepy Statue 4",""
"00:59.533","Cast","Evil Eyes","Creepy Statue 5",""
"00:59.533","Cast","Evil Eyes","Creepy Statue 6",""
"00:59.533","Cast","Evil Eyes","Creepy Statue 7",""
"01:00.012","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"01:00.143","Cast","Evil Eyes","Creepy Statue 1",""
"01:00.143","Cast","Evil Eyes","Creepy Statue 2",""
"01:00.143","Cast","Evil Eyes","Creepy Statue 3",""
"01:00.143","Cast","Evil Eyes","Creepy Statue 4",""
"01:00.143","Cast","Evil Eyes","Creepy Statue 5",""
"01:00.143","Cast","Evil Eyes","Creepy Statue 6",""
"01:00.143","Cast","Evil Eyes","Creepy Statue 7",""
"01:00.519","Cast","Mor'zahi's Command","Mor'zahi",""
"01:00.766","Cast","Evil Eyes","Creepy Statue 1",""
"01:00.766","Cast","Evil Eyes","Creepy Statue 2",""
"01:00.766","Cast","Evil Eyes","Creepy Statue 3",""
"01:00.766","Cast","Evil Eyes","Creepy Statue 4",""
"01:00.766","Cast","Evil Eyes","Creepy Statue 5",""
"01:00.766","Cast","Evil Eyes","Creepy Statue 6",""
"01:00.766","Cast","Evil Eyes","Creepy Statue 7",""
"01:01.389","Cast","Evil Eyes","Creepy Statue 1",""
"01:01.389","Cast","Evil Eyes","Creepy Statue 2",""
"01:01.389","Cast","Evil Eyes","Creepy Statue 3",""
"01:01.389","Cast","Evil Eyes","Creepy Statue 4",""
"01:01.389","Cast","Evil Eyes","Creepy Statue 5",""
"01:01.389","Cast","Evil Eyes","Creepy Statue 6",""
"01:01.397","Cast","Evil Eyes","Creepy Statue 7",""
"01:13.964","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"01:15.987","Cast","Mighty Thud 10.02 sec","First Mate Nama",""
"01:16.026","Cast","Mighty Thud","First Mate Nama",""
"01:16.026","Cast","Mighty Thud","First Mate Nama",""
"01:16.586","Cast","Mighty Thud","First Mate Nama → Falkeron",""
"01:17.963","Cast","Mighty Thud","First Mate Nama",""
"01:17.963","Cast","Mighty Thud","First Mate Nama",""
"01:18.467","Cast","Mighty Thud","First Mate Nama → Parse",""
"01:19.951","Cast","Mighty Thud","First Mate Nama",""
"01:19.951","Cast","Mighty Thud","First Mate Nama",""
"01:20.522","Cast","Mighty Thud","First Mate Nama → Forgyy",""
"01:23.965","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"01:26.004","Cast","Throw Junk","Trader Gebbo",""
"01:26.004","Cast","Throw Junk","Trader Gebbo",""
"01:26.004","Cast","Throw Junk 3.02 sec","Trader Gebbo",""
"01:29.983","Cast","Throw Junk","Trader Gebbo",""
"01:29.983","Cast","Throw Junk","Trader Gebbo",""
"01:29.983","Cast","Throw Junk 3.01 sec","Trader Gebbo",""
"01:32.967","Cast","Shredding Shards","Scrollsage Iku",""
"01:33.492","Cast","Shredding Shards","Scrollsage Iku →  Snapxd",""
"01:33.972","Cast","Shredding Shards","Scrollsage Iku →  Snapxd",""
"01:34.469","Cast","Shredding Shards","Scrollsage Iku →  Snapxd",""
"01:34.970","Cast","Shredding Shards","Scrollsage Iku →  Snapxd",""
"01:35.480","Cast","Shredding Shards","Scrollsage Iku →  Snapxd",""
"01:35.976","Cast","Shredding Shards","Scrollsage Iku →  Snapxd",""
"01:36.475","Cast","Shredding Shards","Scrollsage Iku →  Snapxd",""
"01:45.968","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"01:47.968","Cast","Mighty Thud 10.01 sec","First Mate Nama",""
"01:48.026","Cast","Mighty Thud","First Mate Nama",""
"01:48.026","Cast","Mighty Thud","First Mate Nama",""
"01:48.635","Cast","Mighty Thud","First Mate Nama → Benderic",""
"01:49.960","Cast","Mighty Thud","First Mate Nama",""
"01:49.960","Cast","Mighty Thud","First Mate Nama",""
"01:50.572","Cast","Mighty Thud","First Mate Nama → Snowgigarat",""
"01:51.975","Cast","Mighty Thud","First Mate Nama",""
"01:51.987","Cast","Mighty Thud","First Mate Nama",""
"01:52.519","Cast","Mighty Thud","First Mate Nama → Tarisant",""
"01:56.003","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"01:56.989","Cast","Throw Junk","Trader Gebbo",""
"01:56.989","Cast","Throw Junk","Trader Gebbo",""
"01:56.989","Cast","Throw Junk 3.01 sec","Trader Gebbo",""
"02:00.537","Cast","Dark Whispers","First Mate Nama",""
"02:00.983","Cast","Throw Junk","Trader Gebbo",""
"02:00.983","Cast","Throw Junk","Trader Gebbo",""
"02:00.983","Cast","Throw Junk 3.00 sec","Trader Gebbo",""
"02:01.678","Cast","Final Ascension","Mor'zahi",""
"02:03.015","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"02:12.983","Cast","Blink Nova","Scrollsage Iku",""
"02:20.012","Cast","Blink Nova 7.03 sec","Scrollsage Iku → Arzenx",""
"02:24.997","Cast","Shell Spin 4.00 sec","First Mate Nama → Evelinari",""
"02:26.020","Cast","Throw Junk","Trader Gebbo",""
"02:26.020","Cast","Throw Junk","Trader Gebbo",""
"02:26.020","Cast","Throw Junk 3.01 sec","Trader Gebbo",""
"02:30.007","Cast","Throw Junk","Trader Gebbo",""
"02:30.007","Cast","Throw Junk","Trader Gebbo",""
"02:30.007","Cast","Throw Junk 3.02 sec","Trader Gebbo",""
"02:33.000","Cast","Shredding Shards","Scrollsage Iku",""
"02:33.503","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"02:34.027","Cast","Throw Junk","Trader Gebbo",""
"02:34.027","Cast","Throw Junk","Trader Gebbo",""
"02:34.027","Cast","Throw Junk 3.00 sec","Trader Gebbo",""
"02:34.027","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"02:34.513","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"02:35.019","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"02:35.513","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"02:36.020","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"02:36.512","Cast","Shredding Shards","Scrollsage Iku →  Deadnos",""
"02:39.016","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"02:40.981","Cast","Shell Spin 4.00 sec","First Mate Nama → Parse",""
"02:43.993","Cast","Blink Nova","Scrollsage Iku",""
"02:50.986","Cast","Blink Nova 6.99 sec","Scrollsage Iku → Snowgigarat",""
"02:55.983","Cast","Shell Spin 4.01 sec","First Mate Nama → Illhitu",""
"02:57.004","Cast","Throw Junk","Trader Gebbo",""
"02:57.004","Cast","Throw Junk","Trader Gebbo",""
"02:57.004","Cast","Throw Junk 2.98 sec","Trader Gebbo",""
"02:57.466","Cast","Evil Eyes","Creepy Statue 1",""
"02:57.466","Cast","Evil Eyes","Creepy Statue 2",""
"02:57.466","Cast","Evil Eyes","Creepy Statue 3",""
"02:57.466","Cast","Evil Eyes","Creepy Statue 4",""
"02:57.466","Cast","Evil Eyes","Creepy Statue 5",""
"02:57.466","Cast","Evil Eyes","Creepy Statue 6",""
