"Time","Type","Ability","Source → Target",""
"00:02.935","Cast","Soulcoil Ignition 2.93 sec","Nek'zali the Soulcoiler",""
"00:02.935","Cast","Ritual Burn","Nek'zali the Soulcoiler → Ruwufl",""
"00:02.935","Cast","Ritual Burn","Nek'zali the Soulcoiler → Kuadrac",""
"00:02.935","Cast","Ritual Burn","Nek'zali the Soulcoiler → Scalier",""
"00:02.935","Cast","Ritual Burn","Nek'zali the Soulcoiler → Parsehunter",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Millizh",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Toucans",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Marcbark",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Immørtlzed",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Wackywavytud",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Shumpa",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Mwc",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Tÿÿ",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Brandodragon",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Slizzed",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Concarne",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler →  Mancowhorse",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Fanestadt",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Mkenzie",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Zuggyp",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Syrathos",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Atomicbob",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Sunblaez",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Phishîn",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler →  Zethria",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Hardnoxlife",""
"00:02.936","Cast","Ritual Burn","Nek'zali the Soulcoiler → Darmstadt",""
"00:02.937","Cast","Soulcoil Ignition","Nek'zali the Soulcoiler",""
"00:03.915","Cast","Ritual Burn","Nek'zali the Soulcoiler → Tÿÿ",""
"00:03.915","Cast","Ritual Burn","Nek'zali the Soulcoiler → Marcbark",""
"00:03.915","Cast","Ritual Burn","Nek'zali the Soulcoiler → Atomicbob",""
