"Time","Type","Ability","Source → Target",""
"00:00.009","Cast","Final Ascension","Mor'zahi",""
"00:00.012","Cast","Creepy Flames","Creepy Statue 1",""
"00:00.012","Cast","Creepy Flames","Creepy Statue 2",""
"00:00.012","Cast","Creepy Flames","Creepy Statue 3",""
"00:00.012","Cast","Creepy Flames","Creepy Statue 4",""
"00:00.012","Cast","Creepy Flames","Creepy Statue 5",""
"00:00.013","Cast","Creepy Flames","Creepy Statue 6",""
"00:00.013","Cast","Creepy Flames","Creepy Statue 7",""
"00:00.014","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"00:09.980","Cast","Blink Nova","Scrollsage Iku",""
"00:16.999","Cast","Blink Nova 7.02 sec","Scrollsage Iku → Lerrastrasza",""
"00:22.035","Cast","Shell Spin 4.00 sec","First Mate Nama → Zweicent",""
"00:22.985","Cast","Throw Junk","Trader Gebbo",""
"00:22.986","Cast","Throw Junk","Trader Gebbo",""
"00:22.986","Cast","Throw Junk","Trader Gebbo",""
"00:22.986","Cast","Throw Junk","Trader Gebbo",""
"00:22.986","Cast","Throw Junk","Trader Gebbo",""
"00:22.986","Cast","Throw Junk","Trader Gebbo",""
"00:22.986","Cast","Throw Junk","Trader Gebbo",""
"00:22.986","Cast","Throw Junk","Trader Gebbo",""
"00:22.986","Cast","Throw Junk 3.01 sec","Trader Gebbo",""
"00:26.987","Cast","Throw Junk","Trader Gebbo",""
"00:26.988","Cast","Throw Junk","Trader Gebbo",""
"00:26.988","Cast","Throw Junk","Trader Gebbo",""
"00:26.988","Cast","Throw Junk","Trader Gebbo",""
"00:26.988","Cast","Throw Junk","Trader Gebbo",""
"00:26.988","Cast","Throw Junk","Trader Gebbo",""
"00:26.988","Cast","Throw Junk","Trader Gebbo",""
"00:26.988","Cast","Throw Junk","Trader Gebbo",""
"00:26.988","Cast","Throw Junk 3.00 sec","Trader Gebbo",""
"00:29.945","Cast","Shredding Shards","Scrollsage Iku",""
"00:30.454","Cast","Shredding Shards","Scrollsage Iku → Anathdra",""
"00:30.954","Cast","Shredding Shards","Scrollsage Iku → Anathdra",""
"00:30.963","Cast","Throw Junk","Trader Gebbo",""
"00:30.978","Cast","Throw Junk","Trader Gebbo",""
"00:30.978","Cast","Throw Junk","Trader Gebbo",""
"00:30.978","Cast","Throw Junk","Trader Gebbo",""
"00:30.978","Cast","Throw Junk","Trader Gebbo",""
"00:30.979","Cast","Throw Junk","Trader Gebbo",""
"00:30.979","Cast","Throw Junk","Trader Gebbo",""
"00:30.979","Cast","Throw Junk","Trader Gebbo",""
"00:30.979","Cast","Throw Junk 3.00 sec","Trader Gebbo",""
"00:31.458","Cast","Shredding Shards","Scrollsage Iku → Anathdra",""
"00:31.952","Cast","Shredding Shards","Scrollsage Iku → Anathdra",""
"00:32.469","Cast","Shredding Shards","Scrollsage Iku → Anathdra",""
"00:32.950","Cast","Shredding Shards","Scrollsage Iku → Anathdra",""
"00:33.457","Cast","Shredding Shards","Scrollsage Iku → Anathdra",""
"00:35.971","Begin Cast","Icebound Flames Canceled","Scrollsage Iku",""
"00:37.978","Cast","Shell Spin 4.02 sec","First Mate Nama → Hursti",""
"00:40.963","Cast","Blink Nova","Scrollsage Iku",""
"00:47.969","Cast","Blink Nova 7.01 sec","Scrollsage Iku → Slacki",""
"00:50.410","Cast","Evil Eyes","Creepy Statue 1",""
"00:50.410","Cast","Evil Eyes","Creepy Statue 2",""
"00:50.410","Cast","Evil Eyes","Creepy Statue 3",""
"00:50.410","Cast","Evil Eyes","Creepy Statue 4",""
