"Time","Type","Ability","Source → Target",""
"00:04.779","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"00:05.991","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"00:06.285","Cast","Breath of Ula'tek casts  Empowering Slam on Lalasan","",""
"00:07.491","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Adleytoll","",""
"00:10.875","Begin Cast","Breath of Ula'tek begins casting  Venom Coagulation","",""
"00:12.379","Cast","Breath of Ula'tek casts  Venom Coagulation","",""
"00:13.306","Begin Cast","Breath of Ula'tek begins casting  Toxic Droplets","",""
"00:15.314","Cast","Breath of Ula'tek casts  Toxic Droplets","",""
"00:16.946","Begin Cast","Blood of Ula'tek begins casting  Unstable Miasma","",""
"00:17.947","Cast","Blood of Ula'tek casts  Unstable Miasma","",""
"00:18.151","Cast","Venom Coagulation 1 casts  Contaminate","",""
"00:26.661","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"00:27.881","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"00:28.168","Cast","Breath of Ula'tek casts  Empowering Slam on Lalasan","",""
"00:29.400","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Adleytoll","",""
"00:32.325","Begin Cast","Vashnik begins casting  Shifting Protovenom","",""
"00:36.327","Cast","Vashnik casts  Shifting Protovenom","",""
"00:40.054","Begin Cast","Blood of Ula'tek begins casting  Blighted Blood","",""
"00:42.055","Cast","Blood of Ula'tek casts  Blighted Blood","",""
"00:46.411","Cast","Breath of Ula'tek casts  Vitriolic Stasis","",""
"00:46.412","Cast","Blood of Ula'tek casts  Vitriolic Stasis","",""
"00:48.415","Begin Cast","Vashnik begins casting  Concealing Shadows","",""
"00:49.431","Cast","Vashnik casts  Concealing Shadows","",""
"01:00.698","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"01:02.200","Cast","Breath of Ula'tek casts  Empowering Slam on Adleytoll","",""
"01:03.122","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"01:04.617","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Lalasan","",""
"01:06.768","Begin Cast","Breath of Ula'tek begins casting  Venom Coagulation","",""
"01:08.268","Cast","Breath of Ula'tek casts  Venom Coagulation","",""
"01:09.203","Begin Cast","Breath of Ula'tek begins casting  Toxic Droplets","",""
"01:11.210","Cast","Breath of Ula'tek casts  Toxic Droplets","",""
"01:12.846","Begin Cast","Blood of Ula'tek begins casting  Unstable Miasma","",""
"01:13.852","Cast","Blood of Ula'tek casts  Unstable Miasma","",""
"01:14.081","Cast","Venom Coagulation 2 casts  Contaminate","",""
"01:22.579","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"01:24.075","Cast","Breath of Ula'tek casts  Empowering Slam on Adleytoll","",""
"01:25.001","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"01:26.505","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Lalasan","",""
"01:32.312","Begin Cast","Vashnik begins casting  Shifting Protovenom","",""
"01:36.346","Cast","Vashnik casts  Shifting Protovenom","",""
"01:37.158","Begin Cast","Blood of Ula'tek begins casting  Blighted Blood","",""
"01:39.157","Cast","Blood of Ula'tek casts  Blighted Blood","",""
"01:42.033","Begin Cast","Breath of Ula'tek begins casting  Toxic Droplets","",""
"01:44.038","Cast","Breath of Ula'tek casts  Toxic Droplets","",""
"01:44.449","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"01:45.956","Cast","Breath of Ula'tek casts  Empowering Slam on Adleytoll","",""
"01:46.872","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"01:48.372","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Lalasan","",""
"01:54.154","Begin Cast","Blood of Ula'tek begins casting  Unstable Miasma","",""
"01:55.166","Cast","Blood of Ula'tek casts  Unstable Miasma","",""
"01:59.011","Begin Cast","Breath of Ula'tek begins casting  Venom Coagulation","",""
"02:00.525","Cast","Breath of Ula'tek casts  Venom Coagulation","",""
"02:06.282","Cast","Venom Coagulation 3 casts  Contaminate","",""
"02:06.283","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"02:07.790","Cast","Breath of Ula'tek casts  Empowering Slam on Adleytoll","",""
"02:08.751","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"02:10.243","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Lalasan","",""
"02:13.306","Begin Cast","Vashnik begins casting  Shifting Protovenom","",""
"02:14.824","Begin Cast","Breath of Ula'tek begins casting  Toxic Droplets","",""
"02:16.836","Cast","Breath of Ula'tek casts  Toxic Droplets","",""
"02:17.318","Cast","Vashnik casts  Shifting Protovenom","",""
"02:27.408","Cast","Blood of Ula'tek casts  Vitriolic Stasis","",""
"02:27.430","Cast","Breath of Ula'tek casts  Vitriolic Stasis","",""
