"Time","Type","Ability","Source → Target",""
"02:29.428","Begin Cast","Vashnik begins casting  Concealing Shadows","",""
"02:30.440","Cast","Vashnik casts  Concealing Shadows","",""
"02:43.167","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"02:44.377","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"02:44.669","Cast","Breath of Ula'tek casts  Empowering Slam on Lalasan","",""
"02:45.890","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Adleytoll","",""
"02:48.014","Begin Cast","Breath of Ula'tek begins casting  Venom Coagulation","",""
"02:49.522","Cast","Breath of Ula'tek casts  Venom Coagulation","",""
"02:50.448","Begin Cast","Breath of Ula'tek begins casting  Toxic Droplets","",""
"02:52.448","Cast","Breath of Ula'tek casts  Toxic Droplets","",""
"02:54.082","Begin Cast","Blood of Ula'tek begins casting  Unstable Miasma","",""
"02:55.087","Cast","Blood of Ula'tek casts  Unstable Miasma","",""
"02:55.305","Cast","Venom Coagulation 4 casts  Contaminate","",""
"03:05.021","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"03:06.235","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"03:06.522","Cast","Breath of Ula'tek casts  Empowering Slam on Lalasan","",""
"03:07.734","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Adleytoll","",""
"03:13.320","Begin Cast","Vashnik begins casting  Shifting Protovenom","",""
"03:17.330","Cast","Vashnik casts  Shifting Protovenom","",""
"03:18.397","Begin Cast","Blood of Ula'tek begins casting  Blighted Blood","",""
"03:20.403","Cast","Blood of Ula'tek casts  Blighted Blood","",""
"03:23.252","Begin Cast","Breath of Ula'tek begins casting  Toxic Droplets","",""
"03:25.267","Cast","Breath of Ula'tek casts  Toxic Droplets","",""
"03:26.893","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"03:28.128","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"03:28.397","Cast","Breath of Ula'tek casts  Empowering Slam on Lalasan","",""
"03:29.629","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Adleytoll","",""
"03:35.453","Begin Cast","Blood of Ula'tek begins casting  Unstable Miasma","",""
"03:36.461","Cast","Blood of Ula'tek casts  Unstable Miasma","",""
"03:40.323","Begin Cast","Breath of Ula'tek begins casting  Venom Coagulation","",""
"03:41.812","Cast","Breath of Ula'tek casts  Venom Coagulation","",""
"03:47.641","Cast","Venom Coagulation 1 casts  Contaminate","",""
"03:48.832","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"03:50.041","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"03:50.367","Cast","Breath of Ula'tek casts  Empowering Slam on Lalasan","",""
"03:51.548","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Adleytoll","",""
"03:54.316","Begin Cast","Vashnik begins casting  Shifting Protovenom","",""
"03:56.127","Begin Cast","Breath of Ula'tek begins casting  Toxic Droplets","",""
"03:58.123","Cast","Breath of Ula'tek casts  Toxic Droplets","",""
"03:58.329","Cast","Vashnik casts  Shifting Protovenom","",""
"04:08.418","Cast","Blood of Ula'tek casts  Vitriolic Stasis","",""
"04:08.419","Cast","Breath of Ula'tek casts  Vitriolic Stasis","",""
"04:10.412","Begin Cast","Vashnik begins casting  Concealing Shadows","",""
"04:11.423","Cast","Vashnik casts  Concealing Shadows","",""
"04:21.625","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"04:23.126","Cast","Breath of Ula'tek casts  Empowering Slam on Adleytoll","",""
"04:24.058","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"04:25.560","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Lalasan","",""
"04:27.704","Begin Cast","Breath of Ula'tek begins casting  Venom Coagulation","",""
"04:29.207","Cast","Breath of Ula'tek casts  Venom Coagulation","",""
"04:30.127","Begin Cast","Breath of Ula'tek begins casting  Toxic Droplets","",""
"04:32.134","Cast","Breath of Ula'tek casts  Toxic Droplets","",""
"04:33.792","Begin Cast","Blood of Ula'tek begins casting  Unstable Miasma","",""
"04:34.767","Cast","Blood of Ula'tek casts  Unstable Miasma","",""
"04:34.978","Cast","Venom Coagulation 2 casts  Contaminate","",""
"04:43.514","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"04:45.019","Cast","Breath of Ula'tek casts  Empowering Slam on Adleytoll","",""
"04:47.148","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"04:48.657","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Lalasan","",""
"04:53.313","Begin Cast","Vashnik begins casting  Shifting Protovenom","",""
"04:57.317","Cast","Vashnik casts  Shifting Protovenom","",""
"04:58.063","Begin Cast","Blood of Ula'tek begins casting  Blighted Blood","",""
"05:00.076","Cast","Blood of Ula'tek casts  Blighted Blood","",""
"05:02.947","Begin Cast","Breath of Ula'tek begins casting  Toxic Droplets","",""
"05:04.953","Cast","Breath of Ula'tek casts  Toxic Droplets","",""
"05:05.376","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"05:06.897","Cast","Breath of Ula'tek casts  Empowering Slam on Adleytoll","",""
"05:09.018","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"05:10.520","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Lalasan","",""
"05:15.101","Begin Cast","Blood of Ula'tek begins casting  Unstable Miasma","",""
"05:16.106","Cast","Blood of Ula'tek casts  Unstable Miasma","",""
"05:19.971","Begin Cast","Breath of Ula'tek begins casting  Venom Coagulation","",""
"05:21.471","Cast","Breath of Ula'tek casts  Venom Coagulation","",""
"05:27.253","Cast","Venom Coagulation 5 casts  Contaminate","",""
"05:27.254","Begin Cast","Breath of Ula'tek begins casting  Empowering Slam","",""
"05:28.760","Cast","Breath of Ula'tek casts  Empowering Slam on Adleytoll","",""
"05:30.915","Begin Cast","Blood of Ula'tek begins casting  Bloodvenom Injection","",""
"05:32.419","Cast","Blood of Ula'tek casts  Bloodvenom Injection on Lalasan","",""
"05:34.323","Begin Cast","Vashnik begins casting  Shifting Protovenom","",""
"05:35.778","Begin Cast","Breath of Ula'tek begins casting  Toxic Droplets","",""
"05:37.785","Cast","Breath of Ula'tek casts  Toxic Droplets","",""
"05:38.324","Cast","Vashnik casts  Shifting Protovenom","",""
