"Time","Type","Ability","Source → Target",""
"00:09.986","Cast","Abyssal Rain 2.01 sec","Nymrissa Wavecaller",""
"00:18.009","Cast","Alluring Bubble","Nymrissa Wavecaller",""
"00:23.020","Cast","Alluring Bubble 5.01 sec","Nymrissa Wavecaller",""
"00:26.111","Cast","Alluring Bubble","Bubblefin Shorerunner 1",""
"00:26.111","Cast","Alluring Bubble","Bubblefin Shorerunner 2",""
"00:26.112","Cast","Alluring Bubble","Bubblefin Shorerunner 3",""
"00:26.112","Cast","Alluring Bubble","Bubblefin Shorerunner 4",""
"00:26.112","Cast","Alluring Bubble","Bubblefin Shorerunner 5",""
"00:26.112","Cast","Alluring Bubble","Bubblefin Shorerunner 6",""
"00:26.112","Cast","Alluring Bubble","Bubblefin Shorerunner 7",""
"00:26.112","Cast","Alluring Bubble","Bubblefin Shorerunner 8",""
"00:26.112","Cast","Alluring Bubble","Bubblefin Shorerunner 9",""
"00:26.112","Cast","Alluring Bubble","Bubblefin Shorerunner 10",""
"00:26.544","Cast","Alluring Bubble","Bubblefin Shorerunner 11",""
"00:26.544","Cast","Alluring Bubble","Bubblefin Shorerunner 12",""
"00:26.544","Cast","Alluring Bubble","Bubblefin Shorerunner 13",""
"00:26.544","Cast","Alluring Bubble","Bubblefin Shorerunner 14",""
"00:26.544","Cast","Alluring Bubble","Bubblefin Shorerunner 15",""
"00:26.544","Cast","Alluring Bubble","Bubblefin Shorerunner 16",""
"00:26.545","Cast","Alluring Bubble","Bubblefin Shorerunner 17",""
"00:27.325","Cast","Alluring Bubble","Bubblefin Frostscale 1",""
"00:27.325","Cast","Alluring Bubble","Bubblefin Frostscale 2",""
"00:30.012","Cast","Water Jet 3.01 sec","Nymrissa Wavecaller",""
"00:38.043","Cast","Chilling Frost 1.99 sec","Nymrissa Wavecaller",""
"00:42.994","Cast","Abyssal Rain 2.01 sec","Nymrissa Wavecaller",""
"00:43.210","Cast","Lingering Frost","Nymrissa Wavecaller → Kizuneh",""
"00:44.806","Cast","Lingering Frost","Nymrissa Wavecaller → Vercìn",""
"00:48.802","Cast","Lingering Frost","Nymrissa Wavecaller → Mocta",""
"00:51.998","Cast","Water Jet 3.00 sec","Nymrissa Wavecaller",""
"00:52.660","Cast","Lingering Frost","Nymrissa Wavecaller → Nymssclap",""
"00:58.277","Cast","Lingering Frost","Nymrissa Wavecaller → Bouste",""
"00:58.623","Cast","Lingering Frost","Nymrissa Wavecaller → Bouste",""
"01:00.142","Cast","Lingering Frost","Nymrissa Wavecaller →  Eludrake",""
"01:02.791","Cast","Lingering Frost","Nymrissa Wavecaller → Konadk",""
"01:10.187","Cast","Alluring Bubble","Bubblefin Shorerunner 18",""
"01:10.188","Cast","Alluring Bubble","Bubblefin Shorerunner 19",""
"01:10.188","Cast","Alluring Bubble","Bubblefin Shorerunner 20",""
"01:10.188","Cast","Alluring Bubble","Bubblefin Shorerunner 21",""
"01:10.596","Cast","Alluring Bubble","Bubblefin Shorerunner 22",""
"01:10.596","Cast","Alluring Bubble","Bubblefin Shorerunner 23",""
"01:10.596","Cast","Alluring Bubble","Bubblefin Shorerunner 24",""
"01:10.596","Cast","Alluring Bubble","Bubblefin Shorerunner 25",""
"01:10.596","Cast","Alluring Bubble","Bubblefin Shorerunner 26",""
"01:10.596","Cast","Alluring Bubble","Bubblefin Shorerunner 27",""
"01:10.620","Cast","Alluring Bubble","Bubblefin Shorerunner 28",""
