"Time","Type","Ability","Source → Target",""
"00:10.012","Cast","Abyssal Rain 2.00 sec","Nymrissa Wavecaller",""
"00:18.041","Cast","Alluring Bubble","Nymrissa Wavecaller",""
"00:23.069","Cast","Alluring Bubble 5.03 sec","Nymrissa Wavecaller",""
"00:26.163","Cast","Alluring Bubble","Bubblefin Shorerunner 1",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 2",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 3",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 4",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 5",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 6",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 7",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 8",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 9",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 10",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 11",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 12",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 13",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 14",""
"00:26.164","Cast","Alluring Bubble","Bubblefin Shorerunner 15",""
"00:29.020","Cast","Iceblade Flurry 1.99 sec","Nymrissa Wavecaller → 秋杀",""
"00:37.007","Cast","Chilling Frost 1.99 sec","Nymrissa Wavecaller",""
"00:43.020","Cast","Abyssal Rain 2.01 sec","Nymrissa Wavecaller",""
"00:43.078","Cast","Lingering Frost","Nymrissa Wavecaller → Cshenc",""
"00:43.284","Cast","Lingering Frost","Nymrissa Wavecaller → 无糖溜溜冰",""
"00:43.361","Cast","Lingering Frost","Nymrissa Wavecaller → 熠嘫",""
"00:43.568","Cast","Lingering Frost","Nymrissa Wavecaller → Bigdone",""
"00:43.568","Cast","Lingering Frost","Nymrissa Wavecaller → 京极皋月",""
"00:44.082","Cast","Lingering Frost","Nymrissa Wavecaller → 寰宇吐息",""
"00:44.706","Cast","Lingering Frost","Nymrissa Wavecaller → 老军医八主任",""
