"Time","Type","Ability","Source → Target",""
"00:08.011","Cast","Mutilate","Sszorak → Kurozaa",""
"00:08.011","Cast","Mutilate 3.03 sec","Sszorak",""
"00:11.985","Cast","Ravage","Sszorak → Kurozaa",""
"00:11.985","Cast","Ravage 3.01 sec","Sszorak",""
"00:15.986","Cast","Ravage","Sszorak → Yunfat",""
"00:15.986","Cast","Ravage 3.01 sec","Sszorak",""
"00:20.490","Cast","Tempest 3.51 sec","Sszorak",""
"00:24.478","Cast","Mutilate","Sszorak → Yunfat",""
"00:24.479","Cast","Mutilate 3.01 sec","Sszorak",""
"00:28.972","Cast","Venomous Surge","Sszorak",""
"00:38.976","Cast","Raging Crosswinds","Environment",""
"00:39.734","Cast","Raging Crosswinds","Sszorak → Kadinja",""
"00:39.734","Cast","Raging Crosswinds","Sszorak → Junicoo",""
"00:39.836","Cast","Raging Crosswinds","Sszorak → Angreschk",""
"00:39.836","Cast","Raging Crosswinds","Sszorak → Kyrabu",""
"00:39.938","Cast","Raging Crosswinds","Sszorak → Râre",""
"00:39.939","Cast","Raging Crosswinds","Sszorak → Leihya",""
"00:40.042","Cast","Raging Crosswinds","Sszorak → Calamitas",""
"00:40.042","Cast","Raging Crosswinds","Sszorak → Strawbarry",""
"00:54.983","Cast","Mutilate","Sszorak → Yunfat",""
"00:54.983","Cast","Mutilate 3.00 sec","Sszorak",""
"00:58.986","Cast","Ravage","Sszorak → Yunfat",""
"00:58.986","Cast","Ravage 3.00 sec","Sszorak",""
"01:03.488","Cast","Tempest 3.51 sec","Sszorak",""
"01:07.490","Cast","Mutilate","Sszorak → Kurozaa",""
"01:07.490","Cast","Mutilate 3.01 sec","Sszorak",""
"01:11.487","Cast","Ravage","Sszorak → Kurozaa",""
"01:11.488","Cast","Ravage 3.01 sec","Sszorak",""
"01:16.110","Cast","Venomous Surge","Sszorak",""
"01:25.983","Cast","Raging Crosswinds","Environment",""
"01:26.735","Cast","Raging Crosswinds","Sszorak → Rocketzzu",""
"01:26.735","Cast","Raging Crosswinds","Sszorak → Crunkey",""
"01:26.834","Cast","Raging Crosswinds","Sszorak → Yinaya",""
"01:26.834","Cast","Raging Crosswinds","Sszorak → Didder",""
"01:26.947","Cast","Raging Crosswinds","Sszorak → Rymir",""
"01:26.947","Cast","Raging Crosswinds","Sszorak → Zachstruk",""
"01:27.039","Cast","Raging Crosswinds","Sszorak → Vic",""
"01:27.039","Cast","Raging Crosswinds","Sszorak → Póts",""
"01:38.210","Cast","Anti-Magic Zone","Environment → Crunkey",""
"01:38.222","Cast","Anti-Magic Zone","Environment → Didder",""
"01:38.222","Cast","Anti-Magic Zone","Environment → Kurozaa",""
