"Time","Type","Ability","Source → Target",""
"00:06.379","Begin Cast","Liquefy 1.54 sec","Queen Ansurek",""
"00:07.918","Cast","Liquefy 1.54 sec","Queen Ansurek → Arleric",""
"00:08.419","Begin Cast","Feast 1.00 sec","Queen Ansurek",""
"00:09.417","Cast","Feast 1.00 sec","Queen Ansurek → Arleric",""
"00:12.430","Begin Cast","Silken Tomb 4.01 sec","Queen Ansurek",""
"00:16.437","Cast","Silken Tomb 4.01 sec","Queen Ansurek",""
"00:19.410","Begin Cast","Reactive Toxin 1.03 sec","Queen Ansurek",""
"00:20.436","Cast","Reactive Toxin 1.03 sec","Queen Ansurek",""
"00:20.442","Cast","Web Blades","Queen Ansurek →  Asperonia",""
"00:20.979","Cast","Web Blades","Queen Ansurek → Priesttuffy",""
"00:21.545","Cast","Web Blades","Queen Ansurek → Lilàc",""
"00:29.422","Begin Cast","Venom Nova 5.00 sec","Queen Ansurek",""
"00:34.427","Cast","Venom Nova 5.00 sec","Queen Ansurek",""
"00:46.432","Begin Cast","Liquefy 1.47 sec","Queen Ansurek",""
"00:47.902","Cast","Liquefy 1.47 sec","Queen Ansurek → Arleric",""
"00:48.390","Begin Cast","Feast 1.00 sec","Queen Ansurek",""
"00:49.387","Cast","Feast 1.00 sec","Queen Ansurek → Barackobamyh",""
"00:52.392","Begin Cast","Silken Tomb 3.99 sec","Queen Ansurek",""
"00:56.383","Cast","Silken Tomb 3.99 sec","Queen Ansurek",""
"01:00.422","Cast","Web Blades","Queen Ansurek → Barackobamyh",""
"01:01.008","Cast","Web Blades","Queen Ansurek →  Alirann",""
"01:01.542","Cast","Web Blades","Queen Ansurek → Swoleman",""
"01:13.426","Cast","Web Blades","Queen Ansurek →  Buthor",""
"01:13.973","Cast","Web Blades","Queen Ansurek → Tommyh",""
"01:14.552","Cast","Web Blades","Queen Ansurek → Barackobamyh",""
"01:15.405","Begin Cast","Reactive Toxin 1.00 sec","Queen Ansurek",""
"01:16.406","Cast","Reactive Toxin 1.00 sec","Queen Ansurek",""
"01:25.399","Begin Cast","Venom Nova 5.03 sec","Queen Ansurek",""
"01:30.428","Cast","Venom Nova 5.03 sec","Queen Ansurek",""
"01:38.402","Cast","Web Blades","Queen Ansurek → Stan",""
"01:38.975","Cast","Web Blades","Queen Ansurek → Asperonia",""
"01:39.512","Cast","Web Blades","Queen Ansurek → Sedge",""
"01:40.430","Begin Cast","Liquefy 1.49 sec","Queen Ansurek",""
"01:41.917","Cast","Liquefy 1.49 sec","Queen Ansurek → Arleric",""
"01:42.415","Begin Cast","Feast 0.99 sec","Queen Ansurek",""
"01:43.410","Cast","Feast 0.99 sec","Queen Ansurek → Arleric",""
"01:49.384","Begin Cast","Silken Tomb 4.03 sec","Queen Ansurek",""
"01:53.412","Cast","Silken Tomb 4.03 sec","Queen Ansurek",""
"01:57.405","Cast","Web Blades","Queen Ansurek → Arleric",""
"01:57.965","Cast","Web Blades","Queen Ansurek → Earthfm",""
"01:58.500","Cast","Web Blades","Queen Ansurek → Asperonia",""
"02:11.402","Begin Cast","Reactive Toxin 1.02 sec","Queen Ansurek",""
"02:12.421","Cast","Reactive Toxin 1.02 sec","Queen Ansurek",""
"02:20.429","Cast","Web Blades","Queen Ansurek → Arleric",""
"02:20.971","Cast","Web Blades","Queen Ansurek → Swoleman",""
"02:21.397","Begin Cast","Venom Nova 5.03 sec","Queen Ansurek",""
"02:21.535","Cast","Web Blades","Queen Ansurek → Atiermonk",""
"02:26.430","Cast","Venom Nova 5.03 sec","Queen Ansurek",""
"02:33.881","Begin Cast","Predation 4.01 sec","Queen Ansurek",""
"02:37.887","Cast","Predation 4.01 sec","Queen Ansurek",""
"02:39.904","Begin Cast","Wrest 6.02 sec","Queen Ansurek",""
"02:46.941","Begin Cast","Paralyzing Venom 2.49 sec","Queen Ansurek",""
"02:49.432","Cast","Paralyzing Venom 2.49 sec","Queen Ansurek",""
"02:50.944","Begin Cast","Paralyzing Venom 2.49 sec","Queen Ansurek",""
"02:53.433","Cast","Paralyzing Venom 2.49 sec","Queen Ansurek",""
"02:54.932","Begin Cast","Paralyzing Venom 2.50 sec","Queen Ansurek",""
"02:57.434","Cast","Paralyzing Venom 2.50 sec","Queen Ansurek",""
"02:58.982","Begin Cast","Wrest 5.99 sec","Queen Ansurek",""
"03:04.967","Cast","Wrest 5.99 sec","Queen Ansurek",""
