"Time","Type","Ability","Source → Target",""
"00:01.979","Begin Cast","Volatile Concoction 1.50 sec","Broodtwister Ovi'nax",""
"00:03.477","Cast","Volatile Concoction 1.50 sec","Broodtwister Ovi'nax → Blueprÿnt",""
"00:14.996","Cast","Sticky Web","Broodtwister Ovi'nax",""
"00:20.602","Begin Cast","Ingest Black Blood 1.01 sec","Broodtwister Ovi'nax",""
"00:21.616","Cast","Ingest Black Blood 1.01 sec","Broodtwister Ovi'nax",""
"00:36.637","Begin Cast","Experimental Dosage 1.51 sec","Broodtwister Ovi'nax",""
"00:38.148","Cast","Experimental Dosage 1.51 sec","Broodtwister Ovi'nax",""
"00:38.656","Begin Cast","Volatile Concoction 1.52 sec","Broodtwister Ovi'nax",""
"00:40.181","Cast","Volatile Concoction 1.52 sec","Broodtwister Ovi'nax → Erokabolone",""
"00:47.002","Begin Cast","Fixate 2.00 sec","Blood Parasite 1",""
"00:47.003","Begin Cast","Fixate 2.00 sec","Blood Parasite 2",""
"00:47.081","Begin Cast","Fixate 2.00 sec","Blood Parasite 3",""
"00:47.126","Begin Cast","Fixate 2.02 sec","Blood Parasite 4",""
"00:47.176","Begin Cast","Fixate 2.01 sec","Blood Parasite 5",""
"00:47.194","Begin Cast","Fixate 2.04 sec","Blood Parasite 6",""
"00:47.215","Begin Cast","Fixate 2.02 sec","Blood Parasite 7",""
"00:47.235","Begin Cast","Fixate 2.02 sec","Blood Parasite 8",""
"00:47.265","Begin Cast","Fixate 2.00 sec","Blood Parasite 9",""
"00:47.333","Begin Cast","Fixate 2.02 sec","Blood Parasite 10",""
"00:47.333","Begin Cast","Fixate 2.02 sec","Blood Parasite 11",""
"00:47.352","Begin Cast","Fixate 2.02 sec","Blood Parasite 12",""
"00:47.443","Begin Cast","Fixate 2.00 sec","Blood Parasite 13",""
"00:47.443","Begin Cast","Fixate 2.00 sec","Blood Parasite 14",""
"00:47.444","Begin Cast","Fixate 2.00 sec","Blood Parasite 15",""
"00:47.493","Begin Cast","Fixate 2.00 sec","Blood Parasite 16",""
"00:47.494","Begin Cast","Fixate 2.00 sec","Blood Parasite 17",""
"00:47.494","Begin Cast","Fixate 2.00 sec","Blood Parasite 18",""
"00:49.004","Cast","Fixate 2.00 sec","Blood Parasite 1 → Misaka",""
"00:49.005","Cast","Fixate 2.00 sec","Blood Parasite 2 → Imnotlittle",""
"00:49.081","Cast","Fixate 2.00 sec","Blood Parasite 3 → Bobolfhitlèr",""
"00:49.149","Cast","Fixate 2.02 sec","Blood Parasite 4 → Misaka",""
"00:49.182","Cast","Fixate 2.01 sec","Blood Parasite 5 → Warklaw",""
"00:49.231","Cast","Fixate 2.04 sec","Blood Parasite 6 → Buffdemo",""
"00:49.232","Cast","Fixate 2.02 sec","Blood Parasite 7 → Arzadin",""
"00:49.259","Cast","Fixate 2.02 sec","Blood Parasite 8 → Buffdemo",""
"00:49.264","Cast","Fixate 2.00 sec","Blood Parasite 9 → Melynx",""
"00:49.352","Cast","Fixate 2.02 sec","Blood Parasite 10 → Buffdemo",""
"00:49.352","Cast","Fixate 2.02 sec","Blood Parasite 11 → Transpriest",""
"00:49.374","Cast","Fixate 2.02 sec","Blood Parasite 12 → Imnotlittle",""
"00:49.442","Cast","Fixate 2.00 sec","Blood Parasite 13 → Frowntown",""
"00:49.443","Cast","Fixate 2.00 sec","Blood Parasite 14 → Plzbuffmage",""
"00:49.444","Cast","Fixate 2.00 sec","Blood Parasite 15 → Misaka",""
"00:49.496","Cast","Fixate 2.00 sec","Blood Parasite 16 → Lucidh",""
"00:49.496","Cast","Fixate 2.00 sec","Blood Parasite 17 → Shs",""
"00:49.497","Cast","Fixate 2.00 sec","Blood Parasite 18 → Floydbolone",""
"00:49.851","Begin Cast","Poison Burst Canceled","Voracious Worm 1",""
"00:49.852","Begin Cast","Poison Burst Canceled","Voracious Worm 1",""
"00:51.080","Begin Cast","Vicious Bite 1.49 sec","Colossal Spider 2",""
"00:51.699","Cast","Sticky Web","Broodtwister Ovi'nax",""
"00:52.299","Begin Cast","Vicious Bite 1.50 sec","Colossal Spider 1",""
"00:52.571","Cast","Vicious Bite 1.49 sec","Colossal Spider 2 → Blueprÿnt",""
"00:53.514","Begin Cast","Poison Burst Canceled","Voracious Worm 1",""
"00:53.755","Begin Cast","Infest Canceled","Blood Parasite 17",""
"00:53.756","Begin Cast","Infest 1.51 sec","Blood Parasite 13",""
"00:53.801","Cast","Vicious Bite 1.50 sec","Colossal Spider 1 → Blueprÿnt",""
"00:54.960","Begin Cast","Infest 1.51 sec","Blood Parasite 9",""
"00:54.961","Begin Cast","Infest Canceled","Blood Parasite 11",""
"00:55.263","Cast","Infest 1.51 sec","Blood Parasite 13 → Frowntown",""
"00:55.936","Begin Cast","Fixate 1.99 sec","Blood Parasite 17",""
"00:55.936","Cast","Fixate","Blood Parasite 17",""
"00:55.937","Begin Cast","Poison Burst Canceled","Voracious Worm 1",""
"00:56.180","Begin Cast","Infest 1.51 sec","Blood Parasite 5",""
"00:56.387","Begin Cast","Fixate 1.99 sec","Blood Parasite 11",""
"00:56.388","Cast","Fixate","Blood Parasite 11",""
"00:56.468","Cast","Infest 1.51 sec","Blood Parasite 9 → Melynx",""
"00:57.695","Cast","Infest 1.51 sec","Blood Parasite 5 → Warklaw",""
"00:57.927","Cast","Fixate 1.99 sec","Blood Parasite 17 → Chazzes",""
"00:58.353","Begin Cast","Poison Burst Canceled","Voracious Worm 1",""
"00:58.380","Cast","Fixate 1.99 sec","Blood Parasite 11 → Melynx",""
"00:58.633","Begin Cast","Volatile Concoction 1.50 sec","Broodtwister Ovi'nax",""
"00:59.829","Begin Cast","Infest 1.51 sec","Blood Parasite 3",""
"01:00.138","Cast","Volatile Concoction 1.50 sec","Broodtwister Ovi'nax → Blueprÿnt",""
"01:00.799","Begin Cast","Vicious Bite 1.49 sec","Colossal Spider 2",""
"01:01.044","Begin Cast","Infest 1.49 sec","Blood Parasite 14",""
"01:01.341","Cast","Infest 1.51 sec","Blood Parasite 3 → Bobolfhitlèr",""
"01:02.005","Begin Cast","Vicious Bite Canceled","Colossal Spider 1",""
"01:02.263","Begin Cast","Infest 1.52 sec","Blood Parasite 4",""
"01:02.263","Begin Cast","Infest 1.52 sec","Blood Parasite 11",""
"01:02.287","Cast","Vicious Bite 1.49 sec","Colossal Spider 2 → Blueprÿnt",""
"01:02.536","Cast","Infest 1.49 sec","Blood Parasite 14 → Plzbuffmage",""
"01:03.228","Begin Cast","Poison Burst Canceled","Voracious Worm 1",""
"01:03.229","Begin Cast","Poison Burst Canceled","Voracious Worm 1",""
"01:03.779","Cast","Infest 1.52 sec","Blood Parasite 4 → Misaka",""
"01:03.779","Cast","Infest 1.52 sec","Blood Parasite 11 → Melynx",""
"01:04.696","Begin Cast","Infest Canceled","Blood Parasite 16",""
"01:05.481","Begin Cast","Fixate 2.01 sec","Blood Parasite 19",""
"01:05.482","Begin Cast","Fixate 2.01 sec","Blood Parasite 20",""
"01:06.689","Begin Cast","Fixate 2.00 sec","Blood Parasite 21",""
"01:06.689","Begin Cast","Fixate 2.00 sec","Blood Parasite 22",""
"01:07.126","Begin Cast","Infest 1.50 sec","Blood Parasite 2",""
"01:07.491","Cast","Fixate 2.01 sec","Blood Parasite 19 → Lucidh",""
"01:07.492","Cast","Fixate 2.01 sec","Blood Parasite 20 → Buffdemo",""
"01:07.926","Begin Cast","Fixate 2.01 sec","Blood Parasite 23",""
"01:07.927","Begin Cast","Fixate 2.01 sec","Blood Parasite 24",""
"01:08.628","Cast","Infest 1.50 sec","Blood Parasite 2 → Imnotlittle",""
"01:08.691","Cast","Fixate 2.00 sec","Blood Parasite 21 → Warklaw",""
"01:08.692","Cast","Fixate 2.00 sec","Blood Parasite 22 → Lucidh",""
"01:09.936","Cast","Fixate 2.01 sec","Blood Parasite 23 → Warklaw",""
"01:09.938","Cast","Fixate 2.01 sec","Blood Parasite 24 → Arzadin",""
"01:11.545","Begin Cast","Fixate 2.03 sec","Blood Parasite 25",""
"01:11.567","Begin Cast","Fixate 2.01 sec","Blood Parasite 26",""
"01:12.758","Begin Cast","Fixate 2.00 sec","Blood Parasite 27",""
"01:12.758","Begin Cast","Fixate 2.00 sec","Blood Parasite 28",""
"01:13.572","Cast","Fixate 2.03 sec","Blood Parasite 25 → Frowntown",""
"01:13.573","Cast","Fixate 2.01 sec","Blood Parasite 26 → Chazzes",""
"01:13.992","Begin Cast","Fixate 2.01 sec","Blood Parasite 29",""
"01:14.009","Begin Cast","Fixate 2.00 sec","Blood Parasite 30",""
"01:14.013","Begin Cast","Fixate 2.01 sec","Blood Parasite 31",""
"01:14.028","Begin Cast","Fixate 1.99 sec","Blood Parasite 32",""
"01:14.761","Cast","Fixate 2.00 sec","Blood Parasite 27 → Melynx",""
"01:14.762","Cast","Fixate 2.00 sec","Blood Parasite 28 → Frowntown",""
"01:16.003","Cast","Fixate 2.01 sec","Blood Parasite 29 → Misaka",""
"01:16.004","Cast","Fixate 2.00 sec","Blood Parasite 30 → Melynx",""
"01:16.022","Cast","Fixate 2.01 sec","Blood Parasite 31 → Melynx",""
"01:16.022","Cast","Fixate 1.99 sec","Blood Parasite 32 → Zorj",""
"01:18.644","Begin Cast","Volatile Concoction 1.52 sec","Broodtwister Ovi'nax",""
"01:18.844","Begin Cast","Fixate 2.02 sec","Blood Parasite 33",""
"01:18.844","Begin Cast","Fixate 2.02 sec","Blood Parasite 34",""
"01:18.989","Begin Cast","Fixate Canceled","Blood Parasite 12",""
"01:18.989","Cast","Fixate","Blood Parasite 12",""
"01:20.165","Cast","Volatile Concoction 1.52 sec","Broodtwister Ovi'nax → Erokabolone",""
"01:20.471","Begin Cast","Infest 1.50 sec","Blood Parasite 31",""
"01:20.859","Cast","Fixate 2.02 sec","Blood Parasite 33 → Transpriest",""
"01:20.862","Cast","Fixate 2.02 sec","Blood Parasite 34 → Transpriest",""
"01:21.635","Cast","Sticky Web","Broodtwister Ovi'nax",""
"01:21.976","Cast","Infest 1.50 sec","Blood Parasite 31 → Melynx",""
"01:24.106","Begin Cast","Infest Canceled","Blood Parasite 21",""
"01:25.336","Begin Cast","Infest 1.49 sec","Blood Parasite 27",""
"01:26.548","Begin Cast","Infest Canceled","Blood Parasite 20",""
"01:26.549","Begin Cast","Infest 1.49 sec","Blood Parasite 30",""
"01:26.549","Begin Cast","Infest 1.49 sec","Blood Parasite 24",""
"01:26.639","Begin Cast","Experimental Dosage 1.53 sec","Broodtwister Ovi'nax",""
"01:26.667","Begin Cast","Fixate 2.00 sec","Blood Parasite 21",""
"01:26.667","Cast","Fixate","Blood Parasite 21",""
"01:26.829","Cast","Infest 1.49 sec","Blood Parasite 27 → Melynx",""
"01:28.037","Cast","Infest 1.49 sec","Blood Parasite 24 → Arzadin",""
"01:28.038","Cast","Infest 1.49 sec","Blood Parasite 30 → Melynx",""
"01:28.165","Cast","Experimental Dosage 1.53 sec","Broodtwister Ovi'nax",""
"01:28.666","Cast","Fixate 2.00 sec","Blood Parasite 21 → Bobolfhitlèr",""
"01:28.961","Begin Cast","Infest 1.50 sec","Blood Parasite 29",""
"01:28.962","Begin Cast","Infest 1.50 sec","Blood Parasite 34",""
"01:28.962","Begin Cast","Infest 1.50 sec","Blood Parasite 33",""
"01:29.803","Begin Cast","Fixate 2.00 sec","Blood Parasite 20",""
"01:29.803","Cast","Fixate","Blood Parasite 20",""
"01:30.163","Begin Cast","Infest 1.53 sec","Blood Parasite 26",""
"01:30.465","Cast","Infest 1.50 sec","Blood Parasite 29 → Misaka",""
"01:30.465","Cast","Infest 1.50 sec","Blood Parasite 33 → Transpriest",""
"01:30.466","Cast","Infest 1.50 sec","Blood Parasite 34 → Transpriest",""
"01:31.695","Cast","Infest 1.53 sec","Blood Parasite 26 → Chazzes",""
"01:31.808","Cast","Fixate 2.00 sec","Blood Parasite 20 → Ashslash",""
"01:32.193","Begin Cast","Fixate 2.00 sec","Blood Parasite 35",""
"01:32.194","Begin Cast","Fixate 2.00 sec","Blood Parasite 36",""
"01:34.193","Cast","Fixate 2.00 sec","Blood Parasite 35 → Transpriest",""
"01:34.193","Cast","Fixate 2.00 sec","Blood Parasite 36 → Buffdemo",""
"01:35.422","Begin Cast","Infest 1.52 sec","Blood Parasite 23",""
"01:36.675","Begin Cast","Infest 1.49 sec","Blood Parasite 21",""
"01:36.675","Begin Cast","Infest 1.49 sec","Blood Parasite 36",""
"01:36.939","Cast","Infest 1.52 sec","Blood Parasite 23 → Warklaw",""
"01:37.007","Begin Cast","Fixate 2.00 sec","Blood Parasite 37",""
"01:37.047","Begin Cast","Fixate 1.98 sec","Blood Parasite 38",""
"01:37.048","Begin Cast","Fixate 1.98 sec","Blood Parasite 39",""
"01:37.048","Begin Cast","Fixate 1.98 sec","Blood Parasite 40",""
"01:37.067","Begin Cast","Fixate 2.02 sec","Blood Parasite 41",""
"01:37.091","Begin Cast","Fixate 2.00 sec","Blood Parasite 42",""
"01:37.159","Begin Cast","Fixate 2.03 sec","Blood Parasite 43",""
"01:37.198","Begin Cast","Fixate 2.03 sec","Blood Parasite 44",""
"01:37.201","Begin Cast","Fixate 2.03 sec","Blood Parasite 20",""
"01:37.201","Cast","Fixate","Blood Parasite 20",""
"01:37.267","Begin Cast","Fixate 1.98 sec","Blood Parasite 45",""
"01:37.268","Begin Cast","Fixate 2.02 sec","Blood Parasite 46",""
"01:37.301","Begin Cast","Fixate 1.99 sec","Blood Parasite 47",""
"01:37.355","Begin Cast","Fixate 2.01 sec","Blood Parasite 48",""
"01:37.357","Begin Cast","Fixate 2.01 sec","Blood Parasite 49",""
"01:37.374","Begin Cast","Fixate 1.99 sec","Blood Parasite 50",""
"01:37.449","Begin Cast","Fixate 2.01 sec","Blood Parasite 51",""
"01:37.449","Begin Cast","Fixate 2.01 sec","Blood Parasite 52",""
"01:37.467","Begin Cast","Fixate 2.02 sec","Blood Parasite 53",""
"01:37.507","Begin Cast","Fixate 2.01 sec","Blood Parasite 54",""
"01:37.524","Begin Cast","Fixate 2.01 sec","Blood Parasite 55",""
"01:37.525","Begin Cast","Fixate 2.01 sec","Blood Parasite 56",""
"01:38.167","Cast","Infest 1.49 sec","Blood Parasite 21 → Bobolfhitlèr",""
"01:38.168","Cast","Infest 1.49 sec","Blood Parasite 36 → Buffdemo",""
"01:38.256","Begin Cast","Fixate 2.01 sec","Blood Parasite 57",""
"01:38.256","Begin Cast","Fixate 2.01 sec","Blood Parasite 58",""
"01:38.256","Begin Cast","Fixate 2.01 sec","Blood Parasite 59",""
"01:38.257","Begin Cast","Fixate 2.01 sec","Blood Parasite 60",""
"01:38.650","Begin Cast","Volatile Concoction 1.56 sec","Broodtwister Ovi'nax",""
"01:38.698","Begin Cast","Infest 1.52 sec","Blood Parasite 35",""
"01:39.008","Cast","Fixate 2.00 sec","Blood Parasite 37 → Buffdemo",""
"01:39.030","Cast","Fixate 1.98 sec","Blood Parasite 38 → Buffdemo",""
"01:39.031","Cast","Fixate 1.98 sec","Blood Parasite 39 → Shs",""
"01:39.031","Cast","Fixate 1.98 sec","Blood Parasite 40 → Lucidh",""
"01:39.087","Cast","Fixate 2.02 sec","Blood Parasite 41 → Buffdemo",""
"01:39.094","Cast","Fixate 2.00 sec","Blood Parasite 42 → Zorj",""
"01:39.193","Cast","Fixate 2.03 sec","Blood Parasite 43 → Arzadin",""
"01:39.224","Cast","Fixate 2.03 sec","Blood Parasite 44 → Frowntown",""
"01:39.228","Cast","Fixate 2.03 sec","Blood Parasite 20 → Buffdemo",""
"01:39.250","Cast","Fixate 1.98 sec","Blood Parasite 45 → Lucidh",""
"01:39.289","Cast","Fixate 2.02 sec","Blood Parasite 46 → Melynx",""
"01:39.290","Cast","Fixate 1.99 sec","Blood Parasite 47 → Melynx",""
"01:39.317","Begin Cast","Infest 1.53 sec","Blood Parasite 41",""
"01:39.363","Cast","Fixate 2.01 sec","Blood Parasite 48 → Nibrenksx",""
"01:39.364","Cast","Fixate 2.01 sec","Blood Parasite 49 → Shs",""
"01:39.367","Cast","Fixate 1.99 sec","Blood Parasite 50 → Melynx",""
"01:39.456","Cast","Fixate 2.01 sec","Blood Parasite 51 → Buffdemo",""
"01:39.457","Cast","Fixate 2.01 sec","Blood Parasite 52 → Warklaw",""
"01:39.488","Cast","Fixate 2.02 sec","Blood Parasite 53 → Buffdemo",""
"01:39.514","Cast","Fixate 2.01 sec","Blood Parasite 54 → Imnotlittle",""
"01:39.531","Cast","Fixate 2.01 sec","Blood Parasite 56 → Lucidh",""
"01:39.532","Cast","Fixate 2.01 sec","Blood Parasite 55 → Chazzes",""
"01:40.215","Cast","Volatile Concoction 1.56 sec","Broodtwister Ovi'nax → Blueprÿnt",""
"01:40.216","Cast","Infest 1.52 sec","Blood Parasite 35 → Transpriest",""
"01:40.262","Cast","Fixate 2.01 sec","Blood Parasite 59 → Floydbolone",""
"01:40.262","Cast","Fixate 2.01 sec","Blood Parasite 57 → Zorj",""
"01:40.263","Cast","Fixate 2.01 sec","Blood Parasite 58 → Imnotlittle",""
"01:40.263","Cast","Fixate 2.01 sec","Blood Parasite 60 → Melynx",""
"01:40.530","Begin Cast","Infest 1.51 sec","Blood Parasite 60",""
"01:40.695","Begin Cast","Fixate 2.00 sec","Blood Parasite 61",""
"01:40.696","Begin Cast","Fixate 2.00 sec","Blood Parasite 62",""
"01:40.696","Begin Cast","Fixate 2.00 sec","Blood Parasite 63",""
"01:40.696","Begin Cast","Fixate 2.00 sec","Blood Parasite 64",""
"01:40.697","Begin Cast","Fixate 2.00 sec","Blood Parasite 65",""
"01:40.697","Begin Cast","Fixate 2.00 sec","Blood Parasite 66",""
"01:40.843","Cast","Infest 1.53 sec","Blood Parasite 41 → Buffdemo",""
"01:40.880","Begin Cast","Poison Burst Canceled","Voracious Worm 2",""
"01:40.880","Begin Cast","Poison Burst Canceled","Voracious Worm 2",""
"01:41.330","Cast","Mutation: Accelerated","Blood Parasite 56",""
"01:41.331","Begin Cast","Fixate Canceled","Blood Parasite 56",""
"01:41.331","Cast","Fixate","Blood Parasite 56",""
"01:41.730","Begin Cast","Vicious Bite 1.53 sec","Colossal Spider 3",""
"01:41.893","Begin Cast","Fixate Canceled","Blood Parasite 67",""
"01:41.917","Begin Cast","Fixate Canceled","Blood Parasite 68",""
"01:42.038","Cast","Infest 1.51 sec","Blood Parasite 60 → Melynx",""
"01:42.087","Begin Cast","Vicious Bite 1.50 sec","Colossal Spider 4",""
"01:42.366","Begin Cast","Infest Canceled","Blood Parasite 47",""
"01:42.366","Begin Cast","Infest 1.50 sec","Blood Parasite 51",""
"01:42.367","Begin Cast","Infest 1.50 sec","Blood Parasite 38",""
"01:42.367","Begin Cast","Infest 1.50 sec","Blood Parasite 20",""
"01:42.367","Begin Cast","Infest Canceled","Blood Parasite 50",""
"01:42.691","Cast","Fixate 2.00 sec","Blood Parasite 61 → Bobolfhitlèr",""
"01:42.691","Cast","Fixate 2.00 sec","Blood Parasite 62 → Ashslash",""
"01:42.691","Cast","Fixate 2.00 sec","Blood Parasite 63 → Bobolfhitlèr",""
"01:42.691","Cast","Fixate 2.00 sec","Blood Parasite 64 → Ashslash",""
