"Time","Type","Ability","Source → Target",""
"01:42.693","Cast","Fixate 2.00 sec","Blood Parasite 65 → Transpriest",""
"01:42.693","Cast","Fixate 2.00 sec","Blood Parasite 66 → Transpriest",""
"01:42.956","Begin Cast","Infest Canceled","Blood Parasite 66",""
"01:43.265","Cast","Vicious Bite 1.53 sec","Colossal Spider 3 → Frowntown",""
"01:43.318","Cast","Fixate","Blood Parasite 67",""
"01:43.318","Cast","Fixate","Blood Parasite 68",""
"01:43.318","Cast","Fixate","Blood Parasite 66",""
"01:43.319","Cast","Fixate","Blood Parasite 50",""
"01:43.320","Cast","Fixate","Blood Parasite 47",""
"01:43.562","Begin Cast","Infest 1.54 sec","Blood Parasite 65",""
"01:43.590","Cast","Vicious Bite 1.50 sec","Colossal Spider 4 → Erokabolone",""
"01:43.861","Cast","Infest 1.50 sec","Blood Parasite 51 → Buffdemo",""
"01:43.862","Cast","Infest 1.50 sec","Blood Parasite 38 → Buffdemo",""
"01:43.863","Cast","Infest 1.50 sec","Blood Parasite 20 → Buffdemo",""
"01:44.550","Cast","Fixate","Blood Parasite 67",""
"01:44.550","Cast","Fixate","Blood Parasite 68",""
"01:44.550","Cast","Fixate","Blood Parasite 66",""
"01:44.551","Cast","Fixate","Blood Parasite 50",""
"01:44.551","Cast","Fixate","Blood Parasite 47",""
"01:44.552","Begin Cast","Poison Burst Canceled","Voracious Worm 2",""
"01:44.926","Cast","Mutation: Accelerated","Blood Parasite 49",""
"01:44.927","Cast","Fixate","Blood Parasite 49",""
"01:45.105","Cast","Infest 1.54 sec","Blood Parasite 65 → Transpriest",""
"01:45.788","Cast","Fixate","Blood Parasite 67",""
"01:45.790","Cast","Fixate","Blood Parasite 68",""
"01:45.790","Cast","Fixate","Blood Parasite 66",""
"01:45.791","Cast","Fixate","Blood Parasite 50",""
"01:45.792","Cast","Fixate","Blood Parasite 47",""
"01:46.060","Begin Cast","Infest 1.47 sec","Blood Parasite 62",""
"01:46.161","Begin Cast","Fixate 1.96 sec","Blood Parasite 48",""
"01:46.162","Cast","Fixate","Blood Parasite 48",""
"01:46.163","Begin Cast","Fixate 1.98 sec","Blood Parasite 47",""
"01:46.164","Cast","Fixate","Blood Parasite 47",""
"01:46.164","Begin Cast","Fixate 1.98 sec","Blood Parasite 50",""
"01:46.165","Cast","Fixate","Blood Parasite 50",""
"01:46.165","Begin Cast","Fixate 1.98 sec","Blood Parasite 57",""
"01:46.165","Cast","Fixate","Blood Parasite 57",""
"01:46.166","Begin Cast","Fixate 1.98 sec","Blood Parasite 66",""
"01:46.166","Cast","Fixate","Blood Parasite 66",""
"01:46.166","Begin Cast","Fixate 1.98 sec","Blood Parasite 68",""
"01:46.167","Cast","Fixate","Blood Parasite 68",""
"01:46.167","Begin Cast","Fixate 1.98 sec","Blood Parasite 67",""
"01:46.167","Cast","Fixate","Blood Parasite 67",""
"01:46.996","Begin Cast","Poison Burst Canceled","Voracious Worm 2",""
"01:47.176","Begin Cast","Fixate 2.00 sec","Blood Parasite 69",""
"01:47.179","Begin Cast","Fixate 2.03 sec","Blood Parasite 70",""
"01:47.529","Cast","Infest 1.47 sec","Blood Parasite 62 → Ashslash",""
"01:48.120","Cast","Fixate 1.96 sec","Blood Parasite 48 → Misaka",""
"01:48.147","Cast","Fixate 1.98 sec","Blood Parasite 47 → Nibrenksx",""
"01:48.148","Cast","Fixate 1.98 sec","Blood Parasite 57 → Transpriest",""
"01:48.148","Cast","Fixate 1.98 sec","Blood Parasite 50 → Nibrenksx",""
"01:48.149","Cast","Fixate 1.98 sec","Blood Parasite 68 → Plzbuffmage",""
"01:48.149","Cast","Fixate 1.98 sec","Blood Parasite 67 → Misaka",""
"01:48.149","Cast","Fixate 1.98 sec","Blood Parasite 66 → Nibrenksx",""
"01:48.436","Begin Cast","Fixate 1.99 sec","Blood Parasite 71",""
"01:48.436","Begin Cast","Fixate 1.99 sec","Blood Parasite 72",""
"01:48.437","Begin Cast","Fixate 1.99 sec","Blood Parasite 73",""
"01:48.437","Begin Cast","Fixate 1.99 sec","Blood Parasite 74",""
"01:48.481","Begin Cast","Infest 1.51 sec","Blood Parasite 52",""
"01:48.515","Begin Cast","Infest Canceled","Blood Parasite 59",""
"01:49.174","Cast","Fixate 2.00 sec","Blood Parasite 69 → Transpriest",""
"01:49.211","Cast","Fixate 2.03 sec","Blood Parasite 70 → Misaka",""
"01:49.362","Begin Cast","Fixate Canceled","Blood Parasite 59",""
"01:49.362","Cast","Fixate","Blood Parasite 59",""
"01:49.866","Cast","Mutation: Accelerated","Blood Parasite 47",""
"01:49.867","Begin Cast","Fixate 2.05 sec","Blood Parasite 47",""
"01:49.867","Cast","Fixate","Blood Parasite 47",""
"01:49.995","Cast","Infest 1.51 sec","Blood Parasite 52 → Warklaw",""
"01:50.427","Begin Cast","Fixate 2.00 sec","Blood Parasite 75",""
"01:50.427","Begin Cast","Fixate 2.00 sec","Blood Parasite 76",""
"01:50.428","Cast","Fixate 1.99 sec","Blood Parasite 71 → Frowntown",""
"01:50.429","Cast","Fixate 1.99 sec","Blood Parasite 72 → Frowntown",""
"01:50.429","Cast","Fixate 1.99 sec","Blood Parasite 73 → Frowntown",""
"01:50.430","Cast","Fixate 1.99 sec","Blood Parasite 74 → Frowntown",""
"01:50.629","Begin Cast","Poison Burst Canceled","Voracious Worm 2",""
"01:50.893","Begin Cast","Infest 1.50 sec","Blood Parasite 63",""
"01:50.894","Begin Cast","Infest Canceled","Blood Parasite 45",""
"01:51.077","Begin Cast","Fixate 2.01 sec","Blood Parasite 77",""
"01:51.078","Begin Cast","Fixate 2.01 sec","Blood Parasite 78",""
"01:51.656","Cast","Sticky Web","Broodtwister Ovi'nax",""
"01:51.907","Begin Cast","Vicious Bite 1.44 sec","Colossal Spider 3",""
"01:51.907","Begin Cast","Vicious Bite 1.44 sec","Colossal Spider 4",""
"01:51.907","Begin Cast","Poison Burst Canceled","Voracious Worm 2",""
"01:51.915","Cast","Fixate 2.05 sec","Blood Parasite 47 → Floydbolone",""
"01:52.092","Begin Cast","Infest 1.50 sec","Blood Parasite 61",""
"01:52.243","Begin Cast","Fixate 1.99 sec","Blood Parasite 79",""
"01:52.288","Begin Cast","Fixate 1.97 sec","Blood Parasite 80",""
"01:52.392","Cast","Infest 1.50 sec","Blood Parasite 63 → Bobolfhitlèr",""
"01:52.427","Cast","Fixate 2.00 sec","Blood Parasite 75 → Floydbolone",""
"01:52.430","Cast","Fixate 2.00 sec","Blood Parasite 76 → Frowntown",""
"01:52.710","Cast","Mutation: Accelerated","Blood Parasite 67",""
"01:52.710","Begin Cast","Fixate 2.00 sec","Blood Parasite 67",""
"01:52.711","Cast","Fixate","Blood Parasite 67",""
"01:53.091","Cast","Fixate 2.01 sec","Blood Parasite 77 → Warklaw",""
"01:53.092","Cast","Fixate 2.01 sec","Blood Parasite 78 → Warklaw",""
"01:53.307","Begin Cast","Infest 1.51 sec","Blood Parasite 57",""
"01:53.308","Begin Cast","Infest 1.51 sec","Blood Parasite 46",""
"01:53.308","Begin Cast","Infest Canceled","Blood Parasite 43",""
"01:53.347","Cast","Vicious Bite 1.44 sec","Colossal Spider 3 → Erokabolone",""
"01:53.348","Cast","Vicious Bite 1.44 sec","Colossal Spider 4 → Erokabolone",""
"01:53.593","Cast","Infest 1.50 sec","Blood Parasite 61 → Bobolfhitlèr",""
"01:54.066","Begin Cast","Fixate 2.05 sec","Blood Parasite 81",""
"01:54.066","Begin Cast","Fixate 2.09 sec","Blood Parasite 82",""
"01:54.067","Begin Cast","Fixate 2.05 sec","Blood Parasite 83",""
"01:54.067","Begin Cast","Fixate 2.05 sec","Blood Parasite 84",""
"01:54.067","Begin Cast","Fixate 2.05 sec","Blood Parasite 85",""
"01:54.068","Begin Cast","Fixate 2.05 sec","Blood Parasite 86",""
"01:54.231","Cast","Fixate 1.99 sec","Blood Parasite 79 → Chazzes",""
"01:54.259","Cast","Fixate 1.97 sec","Blood Parasite 80 → Chazzes",""
"01:54.535","Begin Cast","Infest 1.51 sec","Blood Parasite 70",""
"01:54.535","Begin Cast","Infest 1.51 sec","Blood Parasite 58",""
"01:54.535","Begin Cast","Infest 1.51 sec","Blood Parasite 54",""
"01:54.536","Begin Cast","Infest 1.51 sec","Blood Parasite 42",""
"01:54.707","Cast","Fixate 2.00 sec","Blood Parasite 67 → Bobolfhitlèr",""
"01:54.814","Cast","Infest 1.51 sec","Blood Parasite 46 → Melynx",""
"01:54.815","Cast","Infest 1.51 sec","Blood Parasite 57 → Transpriest",""
