"Time","Type","Ability","Source → Target",""
"00:00.091","Cast","Reaper","Nexus-Princess Ky'veza",""
"00:08.508","Cast","Assassination","Nexus-Princess Ky'veza",""
"00:09.995","Begin Cast","Void Shredders 1.52 sec","Nexus-Princess Ky'veza",""
"00:11.519","Cast","Void Shredders 1.52 sec","Nexus-Princess Ky'veza → Abukdk",""
"00:12.033","Cast","Void Shredders","Nexus-Princess Ky'veza 1",""
"00:12.528","Cast","Void Shredders","Nexus-Princess Ky'veza 2",""
"00:13.752","Begin Cast","Assassination 2.02 sec","Nexus-Princess Ky'veza",""
"00:15.770","Cast","Assassination 2.02 sec","Nexus-Princess Ky'veza",""
"00:16.521","Cast","Assassination","Nexus-Princess Ky'veza 3",""
"00:16.749","Cast","Assassination","Nexus-Princess Ky'veza 4",""
"00:16.998","Cast","Assassination","Nexus-Princess Ky'veza 5",""
"00:17.269","Cast","Assassination","Nexus-Princess Ky'veza 6",""
"00:17.539","Cast","Assassination","Nexus-Princess Ky'veza 7",""
"00:18.986","Cast","Death Masks","Nexus-Princess Ky'veza",""
"00:22.002","Begin Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"00:22.120","Begin Cast","Nether Rift Canceled","Unknown",""
"00:22.210","Begin Cast","Nether Rift Canceled","Unknown",""
"00:22.312","Begin Cast","Nether Rift Canceled","Unknown",""
"00:22.423","Begin Cast","Nether Rift Canceled","Unknown",""
"00:22.516","Begin Cast","Nether Rift Canceled","Unknown",""
"00:26.017","Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"00:26.135","Cast","Nether Rift","Nether Phantom 1",""
"00:26.242","Cast","Nether Rift","Nether Phantom 3",""
"00:26.355","Cast","Nether Rift","Nether Phantom 2",""
"00:26.426","Cast","Nether Rift","Nether Phantom 4",""
"00:26.517","Cast","Nether Rift","Nether Phantom 5",""
"00:34.026","Begin Cast","Twilight Massacre 0.35 sec","Nexus-Princess Ky'veza",""
"00:34.380","Cast","Twilight Massacre 0.35 sec","Nexus-Princess Ky'veza",""
"00:35.408","Begin Cast","Twilight Massacre 4.98 sec","Nether Phantom 1",""
"00:35.408","Cast","Twilight Massacre","Nether Phantom 1",""
"00:35.484","Begin Cast","Twilight Massacre 5.01 sec","Nether Phantom 3",""
"00:35.484","Cast","Twilight Massacre","Nether Phantom 3",""
"00:35.578","Begin Cast","Twilight Massacre 5.03 sec","Nether Phantom 2",""
"00:35.578","Cast","Twilight Massacre","Nether Phantom 2",""
"00:35.673","Begin Cast","Twilight Massacre 5.00 sec","Nether Phantom 4",""
"00:35.673","Cast","Twilight Massacre","Nether Phantom 4",""
"00:35.773","Begin Cast","Twilight Massacre 5.04 sec","Nether Phantom 5",""
"00:35.773","Cast","Twilight Massacre","Nether Phantom 5",""
"00:40.022","Begin Cast","Void Shredders 1.51 sec","Nexus-Princess Ky'veza",""
"00:40.389","Cast","Twilight Massacre 4.98 sec","Nether Phantom 1",""
"00:40.494","Cast","Twilight Massacre 5.01 sec","Nether Phantom 3",""
"00:40.608","Cast","Twilight Massacre 5.03 sec","Nether Phantom 2",""
"00:40.673","Cast","Twilight Massacre 5.00 sec","Nether Phantom 4",""
"00:40.808","Cast","Twilight Massacre 5.04 sec","Nether Phantom 5",""
"00:41.530","Cast","Void Shredders 1.51 sec","Nexus-Princess Ky'veza →  Boblecoque",""
"00:42.029","Cast","Void Shredders","Nexus-Princess Ky'veza 8",""
"00:42.533","Cast","Void Shredders","Nexus-Princess Ky'veza 9",""
"00:45.356","Begin Cast","Nexus Daggers 1.52 sec","Nexus-Princess Ky'veza",""
"00:46.111","Begin Cast","Nexus Daggers 1.51 sec","Nether Phantom 1",""
"00:46.881","Cast","Nexus Daggers 1.52 sec","Nexus-Princess Ky'veza",""
"00:46.881","Begin Cast","Nexus Daggers 1.51 sec","Nether Phantom 3",""
"00:47.618","Cast","Nexus Daggers 1.51 sec","Nether Phantom 1",""
"00:47.647","Begin Cast","Nexus Daggers 1.51 sec","Nether Phantom 2",""
"00:48.371","Begin Cast","Nexus Daggers 1.50 sec","Nether Phantom 4",""
"00:48.391","Cast","Nexus Daggers 1.51 sec","Nether Phantom 3",""
"00:49.132","Begin Cast","Nexus Daggers 1.51 sec","Nether Phantom 5",""
"00:49.156","Cast","Nexus Daggers 1.51 sec","Nether Phantom 2",""
"00:49.871","Cast","Nexus Daggers 1.50 sec","Nether Phantom 4",""
"00:50.638","Cast","Nexus Daggers 1.51 sec","Nether Phantom 5",""
"00:52.014","Begin Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"00:52.122","Begin Cast","Nether Rift 4.04 sec","Nether Phantom 1",""
"00:52.216","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 3",""
"00:52.305","Begin Cast","Nether Rift 4.02 sec","Nether Phantom 2",""
"00:52.421","Begin Cast","Nether Rift 4.00 sec","Nether Phantom 4",""
"00:52.521","Begin Cast","Nether Rift 3.99 sec","Nether Phantom 5",""
"00:56.023","Cast","Nether Rift 4.01 sec","Nexus-Princess Ky'veza",""
"00:56.159","Cast","Nether Rift 4.04 sec","Nether Phantom 1",""
"00:56.221","Cast","Nether Rift 4.00 sec","Nether Phantom 3",""
"00:56.329","Cast","Nether Rift 4.02 sec","Nether Phantom 2",""
"00:56.418","Cast","Nether Rift 4.00 sec","Nether Phantom 4",""
"00:56.514","Cast","Nether Rift 3.99 sec","Nether Phantom 5",""
"01:04.009","Begin Cast","Twilight Massacre 0.35 sec","Nexus-Princess Ky'veza",""
"01:04.363","Cast","Twilight Massacre 0.35 sec","Nexus-Princess Ky'veza",""
