"Time","Type","Ability","Source → Target",""
"00:01.588","Begin Cast","Whispers of The Silken Court 6.00 sec","Skeinspinner Takazj",""
"00:01.589","Begin Cast","Whispers of The Silken Court 6.00 sec","Anub'arash",""
"00:07.589","Cast","Whispers of The Silken Court 6.00 sec","Skeinspinner Takazj",""
"00:07.590","Cast","Whispers of The Silken Court 6.00 sec","Anub'arash",""
"00:07.618","Begin Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj",""
"00:08.054","Begin Cast","Impaling Eruption 4.01 sec","Anub'arash",""
"00:09.116","Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj →  Celldrack",""
"00:09.117","Begin Cast","Poison Bolt 1.52 sec","Skeinspinner Takazj",""
"00:10.641","Cast","Poison Bolt 1.52 sec","Skeinspinner Takazj →  Celldrack",""
"00:10.706","Begin Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj",""
"00:12.067","Cast","Impaling Eruption 4.01 sec","Anub'arash",""
"00:12.218","Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj →  Celldrack",""
"00:12.220","Begin Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj",""
"00:13.031","Begin Cast","Piercing Strike 1.49 sec","Anub'arash",""
"00:13.732","Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj →  Celldrack",""
"00:13.748","Begin Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj",""
"00:14.525","Cast","Piercing Strike 1.49 sec","Anub'arash →  Joshdecay",""
"00:15.255","Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj →  Celldrack",""
"00:15.256","Begin Cast","Web Bomb 1.51 sec","Skeinspinner Takazj",""
"00:16.763","Cast","Web Bomb 1.51 sec","Skeinspinner Takazj",""
"00:16.766","Begin Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj",""
"00:18.267","Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj →  Celldrack",""
"00:18.285","Begin Cast","Venomous Rain 1.52 sec","Skeinspinner Takazj",""
"00:19.806","Cast","Venomous Rain 1.52 sec","Skeinspinner Takazj",""
"00:20.743","Begin Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj",""
"00:22.247","Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj →  Celldrack",""
"00:22.317","Begin Cast","Poison Bolt 1.52 sec","Skeinspinner Takazj",""
"00:23.012","Begin Cast","Call of the Swarm 3.01 sec","Anub'arash",""
"00:23.836","Cast","Poison Bolt 1.52 sec","Skeinspinner Takazj →  Celldrack",""
"00:23.839","Begin Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj",""
"00:25.345","Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj →  Celldrack",""
"00:25.376","Begin Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj",""
"00:26.020","Cast","Call of the Swarm 3.01 sec","Anub'arash",""
"00:26.040","Cast","Harden Carapace","Shattershell Scarab 1",""
"00:26.041","Cast","Shell Shatterer","Shattershell Scarab 1",""
"00:26.041","Cast","Harden Carapace","Shattershell Scarab 2",""
"00:26.041","Cast","Shell Shatterer","Shattershell Scarab 2",""
"00:26.041","Cast","Harden Carapace","Shattershell Scarab 3",""
"00:26.041","Cast","Shell Shatterer","Shattershell Scarab 3",""
"00:26.874","Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj →  Celldrack",""
"00:26.936","Begin Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj",""
"00:28.064","Begin Cast","Impaling Eruption 4.02 sec","Anub'arash",""
"00:28.431","Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj →  Celldrack",""
"00:28.518","Begin Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj",""
"00:28.659","Cast","Scarab Fixation","Shattershell Scarab 1 →  Joshdecay",""
"00:28.659","Cast","Scarab Fixation","Shattershell Scarab 2 → Michaelsmith",""
"00:28.660","Cast","Scarab Fixation","Shattershell Scarab 3 → Marksman",""
"00:30.014","Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj →  Celldrack",""
"00:30.083","Begin Cast","Poison Bolt 1.48 sec","Skeinspinner Takazj",""
"00:31.567","Cast","Poison Bolt 1.48 sec","Skeinspinner Takazj →  Celldrack",""
"00:31.584","Begin Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj",""
"00:32.087","Cast","Impaling Eruption 4.02 sec","Anub'arash",""
"00:33.049","Begin Cast","Piercing Strike 1.52 sec","Anub'arash",""
"00:33.087","Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj →  Celldrack",""
"00:33.153","Begin Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj",""
"00:34.573","Cast","Piercing Strike 1.52 sec","Anub'arash →  Celldrack",""
"00:34.667","Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj →  Celldrack",""
"00:34.686","Begin Cast","Poison Bolt 1.52 sec","Skeinspinner Takazj",""
"00:35.038","Begin Cast","Burrowed Eruption 1.81 sec","Anub'arash",""
"00:36.207","Cast","Poison Bolt 1.52 sec","Skeinspinner Takazj →  Celldrack",""
"00:36.207","Begin Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj",""
"00:36.853","Cast","Burrowed Eruption 1.81 sec","Anub'arash",""
"00:37.713","Cast","Poison Bolt 1.51 sec","Skeinspinner Takazj →  Celldrack",""
"00:37.733","Begin Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj",""
"00:38.366","Begin Cast","Reckless Charge 6.01 sec","Anub'arash",""
"00:39.237","Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj →  Celldrack",""
"00:39.302","Begin Cast","Poison Bolt 1.50 sec","Skeinspinner Takazj",""
