"Time","Type","Ability","Source → Target",""
"00:02.989","Begin Cast","Brutal Crush 0.79 sec","Ulgrax the Devourer",""
"00:03.783","Cast","Brutal Crush 0.79 sec","Ulgrax the Devourer → Pikä",""
"00:04.981","Begin Cast","Venomous Lash 2.01 sec","Ulgrax the Devourer",""
"00:06.988","Cast","Venomous Lash 2.01 sec","Ulgrax the Devourer",""
"00:08.988","Begin Cast","Stalker's Webbing 2.53 sec","Ulgrax the Devourer",""
"00:11.515","Cast","Stalker's Webbing 2.53 sec","Ulgrax the Devourer",""
"00:14.976","Begin Cast","Digestive Acid 2.02 sec","Ulgrax the Devourer",""
"00:17.001","Cast","Digestive Acid 2.02 sec","Ulgrax the Devourer",""
"00:17.984","Begin Cast","Brutal Crush 0.78 sec","Ulgrax the Devourer",""
"00:18.760","Cast","Brutal Crush 0.78 sec","Ulgrax the Devourer → Racsidktwo",""
"00:29.976","Begin Cast","Venomous Lash 2.02 sec","Ulgrax the Devourer",""
"00:31.991","Cast","Venomous Lash 2.02 sec","Ulgrax the Devourer",""
"00:32.953","Begin Cast","Brutal Crush 0.81 sec","Ulgrax the Devourer",""
"00:33.767","Cast","Brutal Crush 0.81 sec","Ulgrax the Devourer → Pikä",""
"00:34.082","Cast","Carnivorous Contest","Ulgrax the Devourer → [DNT] Tug of War Stalker 1",""
"00:51.968","Begin Cast","Brutal Crush 0.79 sec","Ulgrax the Devourer",""
"00:52.762","Cast","Brutal Crush 0.79 sec","Ulgrax the Devourer → Racsidktwo",""
"00:53.963","Begin Cast","Stalker's Webbing 2.51 sec","Ulgrax the Devourer",""
"00:56.469","Cast","Stalker's Webbing 2.51 sec","Ulgrax the Devourer",""
"00:57.974","Begin Cast","Venomous Lash 2.01 sec","Ulgrax the Devourer",""
"00:59.982","Cast","Venomous Lash 2.01 sec","Ulgrax the Devourer",""
"01:01.963","Begin Cast","Digestive Acid 2.09 sec","Ulgrax the Devourer",""
"01:04.052","Cast","Digestive Acid 2.09 sec","Ulgrax the Devourer",""
"01:06.982","Begin Cast","Brutal Crush 0.83 sec","Ulgrax the Devourer",""
"01:07.816","Cast","Brutal Crush 0.83 sec","Ulgrax the Devourer → Pikä",""
"01:10.046","Cast","Carnivorous Contest","Ulgrax the Devourer → [DNT] Tug of War Stalker 2",""
"01:29.973","Cast","Phase Transition","Ulgrax the Devourer",""
"01:29.977","Begin Cast","Hulking Crash 4.99 sec","Ulgrax the Devourer",""
"01:34.962","Cast","Hulking Crash 4.99 sec","Ulgrax the Devourer",""
"01:36.046","Cast","Hulking Crash","Ulgrax the Devourer",""
"01:36.284","Begin Cast","Chittering Swarm 3.03 sec","Ulgrax the Devourer",""
"01:39.315","Cast","Chittering Swarm 3.03 sec","Ulgrax the Devourer",""
"01:42.357","Begin Cast","Juggernaut Charge 4.01 sec","Ulgrax the Devourer",""
"01:46.368","Cast","Juggernaut Charge 4.01 sec","Ulgrax the Devourer",""
"01:46.977","Begin Cast","Juggernaut Charge 3.72 sec","Ulgrax the Devourer",""
"01:50.031","Cast","Bioactive Spines","Bile-Soaked Spawn 1",""
"01:50.696","Cast","Juggernaut Charge 3.72 sec","Ulgrax the Devourer",""
"01:54.004","Begin Cast","Juggernaut Charge 3.70 sec","Ulgrax the Devourer",""
"01:54.131","Begin Cast","Disembowel 1.50 sec","Bile-Soaked Spawn 1",""
"01:55.626","Cast","Disembowel 1.50 sec","Bile-Soaked Spawn 1 → Klapi",""
"01:57.702","Cast","Juggernaut Charge 3.70 sec","Ulgrax the Devourer",""
"01:58.180","Cast","Bioactive Spines","Bile-Soaked Spawn 1",""
"02:00.210","Cast","Bioactive Spines","Bile-Soaked Spawn 1",""
"02:01.154","Begin Cast","Juggernaut Charge 3.73 sec","Ulgrax the Devourer",""
"02:01.418","Begin Cast","Disembowel Canceled","Bile-Soaked Spawn 1",""
"02:01.418","Begin Cast","Disembowel Canceled","Ravenous Spawn 1",""
"02:01.835","Begin Cast","Disembowel 1.09 sec","Bile-Soaked Spawn 1",""
"02:02.774","Begin Cast","Disembowel 0.15 sec","Ravenous Spawn 1",""
"02:02.925","Cast","Disembowel 0.15 sec","Ravenous Spawn 1 → Racsidktwo",""
"02:02.926","Cast","Disembowel 1.09 sec","Bile-Soaked Spawn 1 → Racsidktwo",""
"02:03.040","Cast","Bioactive Spines","Bile-Soaked Spawn 2",""
"02:03.316","Cast","Disembowel","Bile-Soaked Spawn 1 → Pikä",""
"02:03.442","Cast","Bioactive Spines","Bile-Soaked Spawn 2",""
"02:04.883","Cast","Juggernaut Charge 3.73 sec","Ulgrax the Devourer",""
"02:06.730","Begin Cast","Disembowel 1.51 sec","Bile-Soaked Spawn 2",""
"02:06.731","Begin Cast","Disembowel 1.51 sec","Ravenous Spawn 2",""
"02:08.242","Cast","Disembowel 1.51 sec","Bile-Soaked Spawn 2 → Pikä",""
"02:08.243","Cast","Disembowel 1.51 sec","Ravenous Spawn 2 → Pikä",""
"02:08.248","Begin Cast","Juggernaut Charge 3.71 sec","Ulgrax the Devourer",""
"02:08.329","Begin Cast","Disembowel 1.55 sec","Bile-Soaked Spawn 2",""
"02:08.750","Begin Cast","Disembowel 1.56 sec","Bile-Soaked Spawn 1",""
"02:08.751","Begin Cast","Disembowel Canceled","Ravenous Spawn 1",""
"02:09.166","Cast","Bioactive Spines","Bile-Soaked Spawn 3",""
