"Time","Type","Ability","Source → Target",""
"02:09.167","Cast","Bioactive Spines","Bile-Soaked Spawn 1",""
"02:09.878","Cast","Disembowel 1.55 sec","Bile-Soaked Spawn 2 → Pikä",""
"02:10.309","Cast","Disembowel 1.56 sec","Bile-Soaked Spawn 1 → Pikä",""
"02:10.310","Cast","Disembowel","Ravenous Spawn 1 → Pikä",""
"02:10.440","Begin Cast","Disembowel Canceled","Bile-Soaked Spawn 1",""
"02:10.808","Begin Cast","Disembowel 1.47 sec","Ravenous Spawn 3",""
"02:11.924","Cast","Disembowel","Bile-Soaked Spawn 1 → Pikä",""
"02:11.957","Cast","Juggernaut Charge 3.71 sec","Ulgrax the Devourer",""
"02:12.079","Begin Cast","Disembowel 1.52 sec","Ravenous Spawn 4",""
"02:12.079","Begin Cast","Disembowel Canceled","Ravenous Spawn 6",""
"02:12.282","Cast","Disembowel 1.47 sec","Ravenous Spawn 3 → Pikä",""
"02:12.522","Begin Cast","Disembowel 1.48 sec","Bile-Soaked Spawn 3",""
"02:13.597","Cast","Disembowel 1.52 sec","Ravenous Spawn 4 → Pikä",""
"02:14.006","Cast","Disembowel 1.48 sec","Bile-Soaked Spawn 3 → Pikä",""
"02:14.151","Cast","Bioactive Spines","Bile-Soaked Spawn 2",""
"02:14.155","Begin Cast","Disembowel 1.51 sec","Ravenous Spawn 5",""
"02:14.547","Cast","Bioactive Spines","Bile-Soaked Spawn 2",""
"02:15.343","Begin Cast","Disembowel Canceled","Bile-Soaked Spawn 2",""
"02:15.665","Cast","Disembowel 1.51 sec","Ravenous Spawn 5 → Pikä",""
"02:15.747","Begin Cast","Disembowel 1.10 sec","Bile-Soaked Spawn 2",""
"02:16.533","Begin Cast","Disembowel 1.52 sec","Ravenous Spawn 7",""
"02:16.534","Begin Cast","Disembowel 1.51 sec","Ravenous Spawn 8",""
"02:16.848","Cast","Disembowel 1.10 sec","Bile-Soaked Spawn 2 → Pikä",""
"02:16.979","Begin Cast","Disembowel Canceled","Ravenous Spawn 2",""
"02:17.172","Begin Cast","Disembowel Canceled","Ravenous Spawn 3",""
"02:17.257","Cast","Disembowel","Bile-Soaked Spawn 2 → Pikä",""
"02:17.778","Begin Cast","Swallowing Darkness 4.00 sec","Ulgrax the Devourer",""
"02:18.049","Cast","Disembowel 1.51 sec","Ravenous Spawn 8 → Tukaram",""
"02:18.050","Cast","Disembowel 1.52 sec","Ravenous Spawn 7 → Racsidktwo",""
"02:18.172","Begin Cast","Disembowel 0.50 sec","Ravenous Spawn 3",""
"02:18.669","Cast","Disembowel 0.50 sec","Ravenous Spawn 3 → Pikä",""
"02:19.413","Begin Cast","Disembowel 1.50 sec","Ravenous Spawn 4",""
"02:19.802","Cast","Bioactive Spines","Bile-Soaked Spawn 3",""
"02:20.912","Cast","Disembowel 1.50 sec","Ravenous Spawn 4 → Pikä",""
"02:21.078","Begin Cast","Disembowel 1.49 sec","Bile-Soaked Spawn 3",""
"02:21.773","Cast","Swallowing Darkness 4.00 sec","Ulgrax the Devourer",""
"02:21.865","Begin Cast","Disembowel Canceled","Ravenous Spawn 5",""
"02:22.568","Cast","Disembowel 1.49 sec","Bile-Soaked Spawn 3 → Pikä",""
"02:23.100","Begin Cast","Disembowel Canceled","Bile-Soaked Spawn 2",""
"02:23.930","Begin Cast","Disembowel 1.47 sec","Ravenous Spawn 7",""
"02:23.931","Begin Cast","Disembowel Canceled","Ravenous Spawn 8",""
"02:24.333","Begin Cast","Disembowel 1.50 sec","Ravenous Spawn 2",""
"02:24.719","Begin Cast","Disembowel Canceled","Ravenous Spawn 3",""
"02:25.404","Cast","Disembowel 1.47 sec","Ravenous Spawn 7 → Racsidktwo",""
"02:25.834","Cast","Disembowel 1.50 sec","Ravenous Spawn 2 → Racsidktwo",""
"02:28.398","Begin Cast","Disembowel 1.50 sec","Bile-Soaked Spawn 3",""
"02:29.903","Cast","Disembowel 1.50 sec","Bile-Soaked Spawn 3 → Pikä",""
"02:30.326","Begin Cast","Hungering Bellows 3.03 sec","Ulgrax the Devourer",""
"02:30.847","Cast","Bioactive Spines","Bile-Soaked Spawn 3",""
"02:31.672","Begin Cast","Disembowel 1.49 sec","Ravenous Spawn 2",""
"02:33.165","Cast","Disembowel 1.49 sec","Ravenous Spawn 2 → Racsidktwo",""
"02:33.352","Cast","Hungering Bellows 3.03 sec","Ulgrax the Devourer",""
"02:35.718","Begin Cast","Disembowel 1.51 sec","Bile-Soaked Spawn 3",""
"02:35.895","Cast","Phase Transition","Ulgrax the Devourer",""
"02:37.228","Cast","Disembowel 1.51 sec","Bile-Soaked Spawn 3 → Pikä",""
"02:44.013","Begin Cast","Brutal Crush 0.82 sec","Ulgrax the Devourer",""
"02:44.837","Cast","Brutal Crush 0.82 sec","Ulgrax the Devourer → Pikä",""
"02:46.043","Begin Cast","Venomous Lash 2.02 sec","Ulgrax the Devourer",""
"02:48.060","Cast","Venomous Lash 2.02 sec","Ulgrax the Devourer",""
"02:50.023","Begin Cast","Stalker's Webbing 2.53 sec","Ulgrax the Devourer",""
"02:52.551","Cast","Stalker's Webbing 2.53 sec","Ulgrax the Devourer",""
"02:56.029","Begin Cast","Digestive Acid 2.01 sec","Ulgrax the Devourer",""
"02:58.037","Cast","Digestive Acid 2.01 sec","Ulgrax the Devourer",""
"02:59.058","Begin Cast","Brutal Crush 0.78 sec","Ulgrax the Devourer",""
"02:59.838","Cast","Brutal Crush 0.78 sec","Ulgrax the Devourer → Racsidktwo",""
"03:11.011","Begin Cast","Venomous Lash 2.00 sec","Ulgrax the Devourer",""
"03:13.012","Cast","Venomous Lash 2.00 sec","Ulgrax the Devourer",""
"03:14.021","Begin Cast","Brutal Crush 0.81 sec","Ulgrax the Devourer",""
"03:14.833","Cast","Brutal Crush 0.81 sec","Ulgrax the Devourer → Pikä",""
"03:15.095","Cast","Carnivorous Contest","Ulgrax the Devourer → [DNT] Tug of War Stalker 3",""
