"Time","Type","Ability","Source → Target",""
"00:05.561","Begin Cast","Savage Assault 1.49 sec","Rasha'nan",""
"00:07.054","Cast","Savage Assault 1.49 sec","Rasha'nan →  Vertorios",""
"00:08.092","Begin Cast","Erosive Spray 1.50 sec","Rasha'nan",""
"00:09.595","Cast","Erosive Spray 1.50 sec","Rasha'nan",""
"00:14.197","Begin Cast","Spinneret's Strands 1.95 sec","Rasha'nan",""
"00:16.142","Cast","Spinneret's Strands 1.95 sec","Rasha'nan",""
"00:18.732","Begin Cast","Infested Spawn 2.51 sec","Rasha'nan",""
"00:21.244","Cast","Infested Spawn 2.51 sec","Rasha'nan",""
"00:23.760","Begin Cast","Infested Bite 0.53 sec","Infested Spawn 1",""
"00:23.915","Begin Cast","Infested Bite 0.48 sec","Infested Spawn 2",""
"00:23.952","Begin Cast","Infested Bite 0.54 sec","Infested Spawn 3",""
"00:24.044","Begin Cast","Infested Bite 0.50 sec","Infested Spawn 4",""
"00:24.091","Begin Cast","Infested Bite 0.49 sec","Infested Spawn 5",""
"00:24.097","Begin Cast","Infested Bite 0.52 sec","Infested Spawn 6",""
"00:24.162","Begin Cast","Infested Bite 0.53 sec","Infested Spawn 7",""
"00:24.246","Begin Cast","Infested Bite 0.48 sec","Infested Spawn 8",""
"00:24.291","Cast","Infested Bite 0.53 sec","Infested Spawn 1 → Onemeanduck",""
"00:24.342","Begin Cast","Infested Bite 0.51 sec","Infested Spawn 9",""
"00:24.387","Begin Cast","Infested Bite 0.50 sec","Infested Spawn 10",""
"00:24.390","Begin Cast","Infested Bite 0.50 sec","Infested Spawn 11",""
"00:24.394","Cast","Infested Bite 0.48 sec","Infested Spawn 2 → Onemeanduck",""
"00:24.491","Cast","Infested Bite 0.54 sec","Infested Spawn 3 → Xenophics",""
"00:24.540","Cast","Infested Bite 0.50 sec","Infested Spawn 4 → Onemeanduck",""
"00:24.584","Cast","Infested Bite 0.49 sec","Infested Spawn 5 →  Foxmidget",""
"00:24.615","Cast","Infested Bite 0.52 sec","Infested Spawn 6 → Prometheusx",""
"00:24.618","Begin Cast","Infested Bite 0.51 sec","Infested Spawn 12",""
"00:24.688","Cast","Infested Bite 0.53 sec","Infested Spawn 7 → Xenophics",""
"00:24.725","Cast","Infested Bite 0.48 sec","Infested Spawn 8 → Sqwanchy",""
"00:24.850","Cast","Infested Bite 0.51 sec","Infested Spawn 9 → Cheebroni",""
"00:24.889","Cast","Infested Bite 0.50 sec","Infested Spawn 10 → Vicodk",""
